Authors	records	% of 115363
BAGSHAWE KD	24	0.021
BROWN JJ	24	0.021
BROWN P	24	0.021
BUTZLER JP	24	0.021
CARTER CO	24	0.021
DOBBING J	24	0.021
FRAUMENI JF	24	0.021
GOODALL EW	24	0.021
GOODMAN NW	24	0.021
GRAHAM-LITTLE E	24	0.021
GRANT ECG	24	0.021
HAMILTON M	24	0.021
JIMBA M	24	0.021
LATNER AL	24	0.021
LEVAY D	24	0.021
MARTIN J	24	0.021
MASKELL R	24	0.021
MIKHAILIDIS DP	24	0.021
MILLER R	24	0.021
NORDIN BEC	24	0.021
PENMAN J	24	0.021
PHILLIPS I	24	0.021
PULLARSTRECKER H	24	0.021
QUICK AJ	24	0.021
RODECK CH	24	0.021
SCHWARTZ M	24	0.021
SIMINI B	24	0.021
SIMPSON SL	24	0.021
SMITH IE	24	0.021
SPIRA JJ	24	0.021
STUNGO E	24	0.021
TAYLOR J	24	0.021
WHITE CP	24	0.021
BESSER GM	23	0.020
BOURNE JG	23	0.020
BRUMFITT W	23	0.020
BRUNTON L	23	0.020
CAPENER N	23	0.020
CHARD T	23	0.020
COLLIER J	23	0.020
DAVIES S	23	0.020
DONKIN HB	23	0.020
DOWNIE VJ	23	0.020
DUKES C	23	0.020
FINN R	23	0.020
GOLDSTEIN MR	23	0.020
GOOD RA	23	0.020
GORDON MH	23	0.020
GREENWOOD BM	23	0.020
GREENWOOD M	23	0.020
HEGGIE JF	23	0.020
HOWARD C	23	0.020
HOWELL TH	23	0.020
KIDD HB	23	0.020
KING NC	23	0.020
LEES AJ	23	0.020
LEVER AF	23	0.020
MACWILLIAM HH	23	0.020
MCLAREN DS	23	0.020
MCMICHAEL J	23	0.020
MITCHELL R	23	0.020
MORRIS PJ	23	0.020
NIXON WCW	23	0.020
PARKER WS	23	0.020
REMUZZI G	23	0.020
RIVLIN S	23	0.020
ROLLASON WN	23	0.020
SILVERMAN WA	23	0.020
SIMMONS NA	23	0.020
SINGER A	23	0.020
SINZINGER H	23	0.020
STEPHENS GA	23	0.020
STEWART WK	23	0.020
TRICHOPOULOS D	23	0.020
WALLACE JS	23	0.020
WATSON D	23	0.020
WILLIAMS C	23	0.020
WILLIAMS H	23	0.020
BAILEY RR	22	0.019
BLACK D	22	0.019
BOARDMAN RH	22	0.019
BOTTAZZO GF	22	0.019
BREWER C	22	0.019
CAWADIAS AP	22	0.019
CRUZCOKE R	22	0.019
CUCKLE H	22	0.019
CULPIN M	22	0.019
DOUTHWAITE AH	22	0.019
EASTWOOD NB	22	0.019
EDELSTON H	22	0.019
ERNST E	22	0.019
EVANS G	22	0.019
FLETCHER CM	22	0.019
GALLO RC	22	0.019
GARATTINI S	22	0.019
GORE SM	22	0.019
HEATON KW	22	0.019
HOLE R	22	0.019
HOLT DW	22	0.019
HOOK EB	22	0.019
IDLE JR	22	0.019
JOHNSON AG	22	0.019
JOHNSTON L	22	0.019
KAY HEM	22	0.019
KENDALL MJ	22	0.019
KING M	22	0.019
KING WG	22	0.019
LEYTON O	22	0.019
MACDONALD N	22	0.019
MCLAREN HC	22	0.019
MCWALTER JC	22	0.019
MULCAHY R	22	0.019
POLLER L	22	0.019
POWELL DEB	22	0.019
POWLES TJ	22	0.019
RENTOUL RR	22	0.019
ROBERTSON JIS	22	0.019
SANDLER M	22	0.019
SELLER MJ	22	0.019
SHAPIRO S	22	0.019
SHELTON JD	22	0.019
SMITH AD	22	0.019
SMITH I	22	0.019
SOOTHILL JF	22	0.019
STEPHENSON JBP	22	0.019
STERN GM	22	0.019
TYRER P	22	0.019
VENTO S	22	0.019
WALKER W	22	0.019
WEST HF	22	0.019
WOODS H	22	0.019
ALBERTI KGMM	21	0.018
ALLEN C	21	0.018
ANAND JK	21	0.018
BARTON R	21	0.018
BAWASKAR HS	21	0.018
BLOOM AL	21	0.018
BROWN J	21	0.018
BROWN W	21	0.018
CAUL EO	21	0.018
CHAPMAN PDH	21	0.018
COOKE WT	21	0.018
CUZICK J	21	0.018
ELAM J	21	0.018
FEARNLEY GR	21	0.018
GRAHAMLITTLE E	21	0.018
GRAY R	21	0.018
HARRIS I	21	0.018
HUGHES LE	21	0.018
HUTCHINSON J	21	0.018
IKRAM H	21	0.018
KAKKAR VV	21	0.018
KURTZ JB	21	0.018
LEAK WN	21	0.018
LEVY R	21	0.018
LEWSEN SC	21	0.018
LILFORD RJ	21	0.018
LUCAS A	21	0.018
MARSH K	21	0.018
MATZ R	21	0.018
MILLER RW	21	0.018
MONTAGNIER L	21	0.018
MONTUSCHI E	21	0.018
MORLEY D	21	0.018
MULLER O	21	0.018
MUMMERY NH	21	0.018
NASH DFE	21	0.018
NEVIN NC	21	0.018
NIXON PGF	21	0.018
NOONE P	21	0.018
OSBORN GR	21	0.018
PANNETT CA	21	0.018
PAPPWORTH MH	21	0.018
PIOT P	21	0.018
PLATT R	21	0.018
POULTON EP	21	0.018
PREST EE	21	0.018
RAMSAY LE	21	0.018
ROSE FC	21	0.018
SANDLER B	21	0.018
SHAPER AG	21	0.018
SLEIGHT P	21	0.018
SMITH J	21	0.018
SMITH R	21	0.018
SPENCER RC	21	0.018
SPIERS ASD	21	0.018
STEVENSON JC	21	0.018
TODD JW	21	0.018
TURNEY JH	21	0.018
WEST R	21	0.018
WHEATLEY D	21	0.018
WHITTY CWM	21	0.018
WILLIAMS A	21	0.018
AABY P	20	0.017
