Authors	records	% of 4921
FISHER WJ	5	0.102
FLEXNER S	5	0.102
GEHMAN HM	5	0.102
GLENN OE	5	0.102
GRONWALL TH	5	0.102
HASKINS CP	5	0.102
HOLWAY AH	5	0.102
IDDINGS JP	5	0.102
JENNINGS HS	5	0.102
JOY AH	5	0.102
KEMBLE EC	5	0.102
KENNELLY AE	5	0.102
KIDDER GW	5	0.102
KLEINHOLZ LH	5	0.102
LANGMUIR I	5	0.102
LEAVITT HW	5	0.102
LEVINSON N	5	0.102
LINDEGREN G	5	0.102
MACHT DI	5	0.102
MACINNES DA	5	0.102
MAST SO	5	0.102
MENZEL DH	5	0.102
MINER JR	5	0.102
MORLEY EW	5	0.102
MULLER HJ	5	0.102
MULLIKEN RS	5	0.102
RAWLES ME	5	0.102
RICE OK	5	0.102
RITT JF	5	0.102
ROSENTHAL JE	5	0.102
SALANT EO	5	0.102
SALEM R	5	0.102
SHIFFMAN M	5	0.102
SMITH S	5	0.102
STEBBINS J	5	0.102
SWANSON CP	5	0.102
TRUESDELL C	5	0.102
UPTON M	5	0.102
WALD G	5	0.102
WARD M	5	0.102
WEYL H	5	0.102
WHITE HS	5	0.102
WHITEHEAD JHC	5	0.102
WYSS O	5	0.102
AYRES WL	4	0.081
BADGER RM	4	0.081
BECKER ER	4	0.081
BLESS AA	4	0.081
BLINKS LR	4	0.081
BOAS F	4	0.081
BOURGIN DG	4	0.081
BOWIE W	4	0.081
BREWER AK	4	0.081
BROOKS MM	4	0.081
BUCHHOLZ JT	4	0.081
BUCHMAN ER	4	0.081
BURK RE	4	0.081
BURR HS	4	0.081
CARY LR	4	0.081
CASSEN B	4	0.081
CHOWLA S	4	0.081
CLOOS E	4	0.081
CONANT JB	4	0.081
CREIGHTON HB	4	0.081
DALY RA	4	0.081
DEMPSTER AJ	4	0.081
DICKSON LE	4	0.081
EMERSON S	4	0.081
ENZMANN EV	4	0.081
FANO U	4	0.081
FRANKLIN EC	4	0.081
FRED EB	4	0.081
FUBINI G	4	0.081
GERASIMOVIC BP	4	0.081
GILES NH	4	0.081
GLOCKLER G	4	0.081
GREEN GM	4	0.081
HAAS AE	4	0.081
HARRISON RG	4	0.081
HILDEBRAND JH	4	0.081
HOPF E	4	0.081
HRDLICKA A	4	0.081
HULL AW	4	0.081
HUTCHINSON GE	4	0.081
HYERS DH	4	0.081
JACOBSON N	4	0.081
JAUNCEY GEM	4	0.081
KAPLAN J	4	0.081
KEIGHLEY G	4	0.081
KENDALL J	4	0.081
KEYES FG	4	0.081
KIDDER AV	4	0.081
KODANI M	4	0.081
KOFOID CA	4	0.081
KOOPMAN BO	4	0.081
KRONIG RD	4	0.081
LANG RJ	4	0.081
LEHMER DN	4	0.081
LEUCHTENBERGER C	4	0.081
LIN CC	4	0.081
LINDSAY RB	4	0.081
LURIA SE	4	0.081
MACDOWELL EC	4	0.081
MACKEY GW	4	0.081
MAYER JE	4	0.081
MAYR E	4	0.081
MCKIBBEN V	4	0.081
MELTZER SJ	4	0.081
MINTON JP	4	0.081
MORGAN TH	4	0.081
NORD FF	4	0.081
NOYES AA	4	0.081
PEARSON CS	4	0.081
PITCHER E	4	0.081
POLLISTER AW	4	0.081
POLYA G	4	0.081
RAMSPERGER HC	4	0.081
RICHARDS WT	4	0.081
RITZMAN EG	4	0.081
SAUNDERS FA	4	0.081
SAWIN PB	4	0.081
SCHAEFFER AC	4	0.081
SCHATZ A	4	0.081
SCHMUCK ML	4	0.081
SCHUCHERT C	4	0.081
SEASHORE CE	4	0.081
SEIDEL W	4	0.081
SKINNER BF	4	0.081
SMITH EL	4	0.081
SONNEBORN TM	4	0.081
SPENCER DC	4	0.081
SPIEGELMAN S	4	0.081
SPRAGUE GF	4	0.081
STEENROD NE	4	0.081
STEINBERG AG	4	0.081
STIEGLITZ J	4	0.081
STOUFFER EB	4	0.081
STRONG LC	4	0.081
SWINGS P	4	0.081
SYNGE JL	4	0.081
TUCKER AW	4	0.081
UREY HC	4	0.081
VALLARTA MS	4	0.081
WANG H	4	0.081
WELSH JH	4	0.081
WHYBURN GT	4	0.081
