Authors	records	% of 6293
ROKAS ANTONIS	13	0.207
ROY SCOTT WILLIAM	13	0.207
SHAPIRO B	13	0.207
TAUTZ D	13	0.207
BROSIUS JUERGEN	12	0.191
CALAFELL F	12	0.191
CHARLESWORTH DEBORAH	12	0.191
DE JONG WILFRIED W	12	0.191
DEGNAN BM	12	0.191
DURET L	12	0.191
DURET LAURENT	12	0.191
GILBERT M THOMAS P	12	0.191
JANKE AXEL	12	0.191
KAYSER M	12	0.191
KAYSER MANFRED	12	0.191
KOONIN EUGENE V	12	0.191
LEMEY P	12	0.191
MCINERNEY JAMES O	12	0.191
MCINERNEY JO	12	0.191
MOREIRA D	12	0.191
MOREIRA DAVID	12	0.191
PALMER JD	12	0.191
PAWLOWSKI J	12	0.191
PAWLOWSKI JAN	12	0.191
PETROV DA	12	0.191
PETROV DMITRI A	12	0.191
QUINTANA-MURCI LLUIS	12	0.191
ROBINSON-RECHAVI MARC	12	0.191
ROCHA EDUARDO P C	12	0.191
ROCHA EPC	12	0.191
SHAPIRO BETH	12	0.191
SINGH RS	12	0.191
STAMATAKIS A	12	0.191
STAMATAKIS ALEXANDROS	12	0.191
SULLIVAN J	12	0.191
SULLIVAN JACK	12	0.191
SUZUKI Y	12	0.191
TAYLOR JW	12	0.191
XU SH	12	0.191
YANG Z H	12	0.191
ZHANG Y	12	0.191
AVISE J C	11	0.175
AVISE JC	11	0.175
BROSIUS J	11	0.175
BROSIUS JURGEN	11	0.175
BUSTAMANTE CARLOS D	11	0.175
BUSTAMANTE CD	11	0.175
CALAFELL FRANCESC	11	0.175
CRANDALL KA	11	0.175
CRANDALL KEITH A	11	0.175
DEPAMPHILIS CW	11	0.175
DOUZERY EJP	11	0.175
DOUZERY EMMANUEL J P	11	0.175
DROUIN G	11	0.175
EASTEAL SIMON	11	0.175
EICKBUSH TH	11	0.175
EICKBUSH THOMAS H	11	0.175
FIGUEROA F	11	0.175
FILATOV DA	11	0.175
FILATOV DMITRY A	11	0.175
HENDY MD	11	0.175
HOLLAND PWH	11	0.175
KIVISILD T	11	0.175
KLEIN JAN	11	0.175
KOONIN EV	11	0.175
LAKE JA	11	0.175
LEMEY PHILIPPE	11	0.175
LONG MANYUAN	11	0.175
MAIER UG	11	0.175
MARIN I	11	0.175
MARIN IGNACIO	11	0.175
MILLER DJ	11	0.175
MOYA A	11	0.175
PALMER J D	11	0.175
PESOLE G	11	0.175
PYBUS OLIVER G	11	0.175
ROZAS J	11	0.175
RUIZ-TRILLO I	11	0.175
SACCONE C	11	0.175
SHARP PM	11	0.175
SUZUKI YOSHIYUKI	11	0.175
TAUTZ DIETHARD	11	0.175
THORNE JEFFREY L	11	0.175
THORNE JL	11	0.175
UEDA S	11	0.175
WANG J	11	0.175
WOLFE KENNETH H	11	0.175
WOLFE KH	11	0.175
WRIGHT SI	11	0.175
AYALA FJ	10	0.159
BAPTESTE E	10	0.159
BEINTEMA J J	10	0.159
BERNATCHEZ LOUIS	10	0.159
CHANG BELINDA S W	10	0.159
CHARLESWORTH B	10	0.159
CHARLESWORTH BRIAN	10	0.159
CHEN H	10	0.159
COMAS DAVID	10	0.159
COOPER ALAN	10	0.159
DE JONG WW	10	0.159
DEGNAN BERNARD M	10	0.159
DELSUC FREDERIC	10	0.159
DEPAMPHILIS CLAUDE W	10	0.159
DROUIN GUY	10	0.159
EICKBUSH T H	10	0.159
FELDMAN M W	10	0.159
FELDMAN MARCUS W	10	0.159
FELDMAN MW	10	0.159
FILATOV D A	10	0.159
FROST SDW	10	0.159
FROST SIMON D W	10	0.159
GOLDING GB	10	0.159
HAMMER M F	10	0.159
HEIN J	10	0.159
HENDY MICHAEL D	10	0.159
HOFFMANN F G	10	0.159
HOLLAND PETER W H	10	0.159
HONEYCUTT R L	10	0.159
HONEYCUTT RL	10	0.159
IRIMIA M	10	0.159
IRIMIA MANUEL	10	0.159
JANSEN RK	10	0.159
KEIGHTLEY PD	10	0.159
KEIGHTLEY PETER D	10	0.159
KIVISILD TOOMAS	10	0.159
LAUDET V	10	0.159
LAUDET VINCENT	10	0.159
LAVROV DENNIS V	10	0.159
LAVROV DV	10	0.159
LI J	10	0.159
LI W-H	10	0.159
LITHGOW TREVOR	10	0.159
MALIK HARMIT S	10	0.159
MALIK HS	10	0.159
MAXSON L R	10	0.159
MILLER DAVID J	10	0.159
NABHOLZ B	10	0.159
NIKAIDO M	10	0.159
NIKAIDO MASATO	10	0.159
O'BRIEN S J	10	0.159
O'BRIEN STEPHEN J	10	0.159
OPAZO JC	10	0.159
OPAZO JUAN C	10	0.159
PAEAEBO SVANTE	10	0.159
PESOLE GRAZIANO	10	0.159
POLLOCK DAVID D	10	0.159
QUINTANA-MURCI L	10	0.159
RUIZ-TRILLO INAKI	10	0.159
SCHARTL M	10	0.159
