Authors	records	% of 5184
AX J	4	0.077
BAILY WL	4	0.077
BALLMANN W	4	0.077
BASS H	4	0.077
BATEMAN H	4	0.077
BENOIST Y	4	0.077
BERS L	4	0.077
BERWALD L	4	0.077
BIRKHOFF GD	4	0.077
BLOCH S	4	0.077
BLUMBERG H	4	0.077
BOAS RP	4	0.077
BOHNENBLUST F	4	0.077
BRAHANA HR	4	0.077
BROWN M	4	0.077
BUMP D	4	0.077
CALABI E	4	0.077
CECH E	4	0.077
CHAI CL	4	0.077
CHANG SYA	4	0.077
CHEVALLEY C	4	0.077
CHINBURG T	4	0.077
CLOZEL L	4	0.077
COHEN LW	4	0.077
DE LELLIS C	4	0.077
DEVINATZ A	4	0.077
DIEDERICH K	4	0.077
DINES LL	4	0.077
DOSS R	4	0.077
DOUGLAS J	4	0.077
DRESDEN A	4	0.077
DUNKEL O	4	0.077
DWORK B	4	0.077
DYSON FJ	4	0.077
EHRENPREIS L	4	0.077
ELLENBERG JS	4	0.077
FARRELL FT	4	0.077
FEFFERMAN R	4	0.077
FOREMAN M	4	0.077
FORNAESS JE	4	0.077
FRANKEL T	4	0.077
FREEDMAN MH	4	0.077
FRIEDBERG S	4	0.077
GARLAND H	4	0.077
GERONIMUS J	4	0.077
GLIMM J	4	0.077
GORENSTEIN D	4	0.077
GRAUSTEIN WC	4	0.077
GRIFFITHS PA	4	0.077
GROVE K	4	0.077
GUTH L	4	0.077
HALMOS PR	4	0.077
HALPERIN I	4	0.077
HARVEY FR	4	0.077
HAYASHI T	4	0.077
HE ZX	4	0.077
HEDLUND GA	4	0.077
HEDRICK ER	4	0.077
HEWITT E	4	0.077
HILTON H	4	0.077
HIRONAKA H	4	0.077
HOPKINS MJ	4	0.077
HUNTINGTON EV	4	0.077
HURWITZ WA	4	0.077
JAMES RC	4	0.077
JEFFERY RL	4	0.077
KLINE JR	4	0.077
KLINGENBERG W	4	0.077
KNAPP AW	4	0.077
KUIPER NH	4	0.077
LACEY M	4	0.077
LANG S	4	0.077
LATIMER CG	4	0.077
LEWY H	4	0.077
LI P	4	0.077
LIEB EH	4	0.077
LUBOTZKY A	4	0.077
LYNDON RC	4	0.077
MACKEY GW	4	0.077
MARDEN A	4	0.077
MARGULIS G	4	0.077
MARKOVIC V	4	0.077
MAUTNER FI	4	0.077
MCDUFF D	4	0.077
MONSKY P	4	0.077
MORGAN JW	4	0.077
MORI S	4	0.077
MOURSUND AF	4	0.077
MURRAY FH	4	0.077
MURTHY MP	4	0.077
MYERS SB	4	0.077
NAOR A	4	0.077
NARASIMHAN MS	4	0.077
NEEMAN A	4	0.077
NESBITT C	4	0.077
NEWMAN M	4	0.077
OLDENBURGER R	4	0.077
ONO K	4	0.077
OXTOBY JC	4	0.077
PETRIE T	4	0.077
PONTRJAGIN L	4	0.077
PRASAD G	4	0.077
PUJALS ER	4	0.077
QUILLEN D	4	0.077
RADO T	4	0.077
RALLIS S	4	0.077
REINER I	4	0.077
ROSENLICHT M	4	0.077
ROSSI H	4	0.077
ROURKE CP	4	0.077
SAITO S	4	0.077
SCHATTEN R	4	0.077
SCHIFFER M	4	0.077
SCHRAMM O	4	0.077
SHAHIDI F	4	0.077
SHAPIRO HN	4	0.077
SHELAH S	4	0.077
SIMON L	4	0.077
SIMONS J	4	0.077
SMILLIE J	4	0.077
SNYDER V	4	0.077
STERN RJ	4	0.077
SUZUKI M	4	0.077
SWAN RG	4	0.077
SYNGE JL	4	0.077
SZABO Z	4	0.077
SZCZARBA RH	4	0.077
TARSKI A	4	0.077
TATE J	4	0.077
TAYLOR MJ	4	0.077
TAYLOR R	4	0.077
TELEMAN C	4	0.077
THOMAS JM	4	0.077
THURSTON WP	4	0.077
TOMPKINS C	4	0.077
TUCKER AW	4	0.077
VIANA M	4	0.077
VILONEN K	4	0.077
VOGAN DA	4	0.077
WAINGER S	4	0.077
WALD A	4	0.077
WALDHAUSEN F	4	0.077
WALLACH NR	4	0.077
WARNER FW	4	0.077
WASOW W	4	0.077
WEIL A	4	0.077
WEINBERGER S	4	0.077
WHITE HS	4	0.077
WIENER N	4	0.077
WOLPERT S	4	0.077
WUSTHOLZ G	4	0.077
ADAMS JF	3	0.058
AKBULUT S	3	0.058
ALLARD WK	3	0.058
ALLARDICE RE	3	0.058
ANDREOTTI A	3	0.058
ANDREWS JJ	3	0.058
ANKENY NC	3	0.058
BARGMANN V	3	0.058
BECK J	3	0.058
BEDFORD E	3	0.058
BERESNEVICH V	3	0.058
BERNSTEIN BA	3	0.058
BERTOLINI M	3	0.058
BESTVINA M	3	0.058
BEZRUKAVNIKOV R	3	0.058
BIERSTONE E	3	0.058
BISHOP CJ	3	0.058
BLACKWELL D	3	0.058
BONATTI C	3	0.058
BORSUK K	3	0.058
BRAUN H	3	0.058
BRAY HE	3	0.058
BROWDER FE	3	0.058
BROWN AB	3	0.058
BROWNAWELL WD	3	0.058
BUCHSBAUM DA	3	0.058
BUFF X	3	0.058
BURAGO D	3	0.058
BURGESS HT	3	0.058
CARLESON L	3	0.058
CATLIN D	3	0.058
CHENG MT	3	0.058
COLLIN P	3	0.058
CONNER PE	3	0.058
CONNES A	3	0.058
COPELAND LP	3	0.058
CORDOBA A	3	0.058
CRAIG CC	3	0.058
CURTISS DR	3	0.058
DAVENPORT H	3	0.058
DIEUDONNE J	3	0.058
DOWKER CH	3	0.058
DOWKER YN	3	0.058
DUFF GFD	3	0.058
DUKE W	3	0.058
DWYER WG	3	0.058
EBERLEIN P	3	0.058
EINSIEDLER M	3	0.058
ENRIGHT TJ	3	0.058
ESNAULT H	3	0.058
FABER C	3	0.058
FALTINGS G	3	0.058
FAN K	3	0.058
FEFFERMAN CL	3	0.058
FEIGHN M	3	0.058
FINIS T	3	0.058
FINTUSHEL R	3	0.058
FISCHER CA	3	0.058
FISHER D	3	0.058
FITE WB	3	0.058
FLEXNER WW	3	0.058
FORD K	3	0.058
FORNI G	3	0.058
FRANKS JM	3	0.058
FRENKEL E	3	0.058
FRIEDLANDER EM	3	0.058
FRIEDLANDER J	3	0.058
FRINK O	3	0.058
FUBINI G	3	0.058
FULLER FB	3	0.058
GABAI D	3	0.058
GAITSGORY D	3	0.058
GALE AS	3	0.058
GANCEDO F	3	0.058
GARVER R	3	0.058
GELANDER T	3	0.058
GLEASON RE	3	0.058
GODEMENT R	3	0.058
GOLDSCHMIDT DM	3	0.058
GOLDSTEIN M	3	0.058
GOMPF RE	3	0.058
GOWERS WT	3	0.058
GRACZYK J	3	0.058
GRAVES LM	3	0.058
GROMOLL D	3	0.058
GROMOV M	3	0.058
GRUNEWALD F	3	0.058
GUAN PF	3	0.058
GURALNICK RM	3	0.058
GURSKY MJ	3	0.058
HAEFLIGER A	3	0.058
HARRIS B	3	0.058
HARRIS M	3	0.058
HARROLD OG	3	0.058
HAZLETT OC	3	0.058
HENNIART G	3	0.058
HERTZ FR	3	0.058
HERZ CS	3	0.058
HILDEBRANDT TH	3	0.058
HOCHMAN M	3	0.058
HOFMANN S	3	0.058
HOLLCROFT TR	3	0.058
HOPKINS C	3	0.058
HORMANDER L	3	0.058
HUA LK	3	0.058
HUBER A	3	0.058
IHARA Y	3	0.058
IONESCU AD	3	0.058
JACKSON WH	3	0.058
JACQUET H	3	0.058
JERISON D	3	0.058
JONES BW	3	0.058
KALOSHIN V	3	0.058
KARLIN S	3	0.058
KASHIWARA M	3	0.058
KAWAMATA Y	3	0.058
KAZDAN JL	3	0.058
KENNELLY AE	3	0.058
KESTEN H	3	0.058
KILLIP R	3	0.058
KISELEV A	3	0.058
KLAINERMAN S	3	0.058
KLEENE SC	3	0.058
KOOPMAN BO	3	0.058
KORANYI A	3	0.058
KRIZ I	3	0.058
KRYLOFF N	3	0.058
KUDLA SS	3	0.058
KUPERBERG G	3	0.058
KUPERBERG K	3	0.058
LABOURIE F	3	0.058
LAPID E	3	0.058
LASHOF R	3	0.058
LEHMER DN	3	0.058
LIEBECK MW	3	0.058
LIN JP	3	0.058
LINDBLAD H	3	0.058
LITTLEWOOD JE	3	0.058
LIVERANI C	3	0.058
LIVESAY GR	3	0.058
LOOMIS LH	3	0.058
LORCH ER	3	0.058
LUBIN J	3	0.058
LYONS R	3	0.058
MACDUFFEE CC	3	0.058
MACNEISH HF	3	0.058
