Authors	records	% of 2154
PERLIKOWSKI P	4	0.186
PIREDDU M	4	0.186
RAJASEKAR S	4	0.186
RIVERA M	4	0.186
ROSENBLUM M	4	0.186
ROSS SD	4	0.186
ROY PK	4	0.186
ROY R	4	0.186
RYZHOV EA	4	0.186
SARLIS NV	4	0.186
SER-GIACOMI E	4	0.186
SHEN CS	4	0.186
SHRIER A	4	0.186
SHU PP	4	0.186
SKOKOS C	4	0.186
STAHL MT	4	0.186
STEMLER T	4	0.186
SULTAN R	4	0.186
TABI CB	4	0.186
TOTH A	4	0.186
VIANA RL	4	0.186
WANG C	4	0.186
WANG F	4	0.186
WANG Y	4	0.186
WANG ZH	4	0.186
WEINBERG SH	4	0.186
WEN XY	4	0.186
WESSEL N	4	0.186
WOAFO P	4	0.186
WU QC	4	0.186
XIAO YZ	4	0.186
XU J	4	0.186
YANG H	4	0.186
YANG HJ	4	0.186
YANG R	4	0.186
YANG XS	4	0.186
YOSHIKAWA K	4	0.186
ZHANG HF	4	0.186
ZHANG HQ	4	0.186
ZHANG X	4	0.186
ZHANG ZZ	4	0.186
ZHAO Y	4	0.186
AHAMMER H	3	0.139
AI BQ	3	0.139
ALIAKBARY S	3	0.139
ALONSO S	3	0.139
ALTMANN EG	3	0.139
AMRITKAR RE	3	0.139
ANTONOPOULOS CG	3	0.139
ARAI K	3	0.139
ARECCHI FT	3	0.139
ASHWIN P	3	0.139
AZIZ-ALAOUI MA	3	0.139
BAETENS JM	3	0.139
BAHAR S	3	0.139
BALAKRISHNAN J	3	0.139
BALEANU D	3	0.139
BANERJEE S	3	0.139
BAR M	3	0.139
BARAHONA M	3	0.139
BARREIRO M	3	0.139
BASSETT DS	3	0.139
BICK C	3	0.139
BIKTASHEV VN	3	0.139
BILLINGS L	3	0.139
BLAZEVSKI D	3	0.139
BLYUSS KB	3	0.139
BORONDO J	3	0.139
BORRERO-ECHEVERRY D	3	0.139
BRAUN HA	3	0.139
CAO YZ	3	0.139
CARBALLIDO-LANDEIRA J	3	0.139
CERDEIRA HA	3	0.139
CHATTOPADHYAY S	3	0.139
CHAUDHURI JR	3	0.139
CHIAN ACL	3	0.139
CVITANOVIC P	3	0.139
D'ONOFRIO A	3	0.139
DE BAETS B	3	0.139
DENG Y	3	0.139
DIJKSTRA HA	3	0.139
DOBSON I	3	0.139
ESPINOSA A	3	0.139
ESTRADA E	3	0.139
FALCKE M	3	0.139
FINKE C	3	0.139
FORGOSTON E	3	0.139
FOUDA HPE	3	0.139
FRANOVIC I	3	0.139
GADE PM	3	0.139
GALIAS Z	3	0.139
GAN QT	3	0.139
GARCIA-OJALVO J	3	0.139
GEORGIOU O	3	0.139
GLENDINNING P	3	0.139
GODO B	3	0.139
GONG YB	3	0.139
GORI L	3	0.139
GUAN SG	3	0.139
GUNARATNE GH	3	0.139
GUZZO M	3	0.139
HAVLIN S	3	0.139
HENS C	3	0.139
HUANG TW	3	0.139
IU HHC	3	0.139
JACQUEMET V	3	0.139
JAJCAY N	3	0.139
JALAN S	3	0.139
JANAKI MS	3	0.139
JAVALOYES J	3	0.139
JIANG HJ	3	0.139
JUNG P	3	0.139
KABIRAJ L	3	0.139
KARIMAGHAEE P	3	0.139
KAWAMURA Y	3	0.139
KHUSNUTDINOVA KR	3	0.139
KIA B	3	0.139
KONISHI K	3	0.139
KOSHEL KV	3	0.139
KRAMER S	3	0.139
KROGH-MADSEN T	3	0.139
KURAMOTO Y	3	0.139
KYRYCHKO YN	3	0.139
LACASA L	3	0.139
LAINSCSEK C	3	0.139
