Authors	records	% of 29804
SIMMIE JM	28	0.094
SKURSKI P	28	0.094
SOBOLEWSKI AL	28	0.094
SUITS AG	28	0.094
UCHIMARU T	28	0.094
WANG BS	28	0.094
WIBERG KB	28	0.094
ZACHARIASSE KA	28	0.094
AGREN H	27	0.091
ARAKI Y	27	0.091
BODI A	27	0.091
COLUSSI AJ	27	0.091
COOTE ML	27	0.091
DEMAISON J	27	0.091
DOPFER O	27	0.091
DYKE JM	27	0.091
GHANTY TK	27	0.091
GIBSON JK	27	0.091
HERREBOUT WA	27	0.091
LARGO A	27	0.091
LEUTWYLER S	27	0.091
LLUCH JM	27	0.091
MICHL J	27	0.091
MIYAJIMA K	27	0.091
OBERHAMMER H	27	0.091
ROBB MA	27	0.091
SCHWARZ H	27	0.091
ALIKHANI ME	26	0.087
ASCHMANN SM	26	0.087
CHAMPAGNE B	26	0.087
CHANDRA AK	26	0.087
DONALDSON DJ	26	0.087
GEJJI SP	26	0.087
GRIMME S	26	0.087
KISHIMOTO N	26	0.087
LI W	26	0.087
LINEBERGER WC	26	0.087
MAYER PM	26	0.087
MILLER RE	26	0.087
MODELLI A	26	0.087
NETA P	26	0.087
ORLANDO JJ	26	0.087
QI F	26	0.087
RETTIG W	26	0.087
REVA I	26	0.087
RUUD K	26	0.087
SZTARAY B	26	0.087
TACHIKAWA H	26	0.087
VAIDA V	26	0.087
WILSON AK	26	0.087
YAMAGUCHI Y	26	0.087
ZHANG YH	26	0.087
ZHU L	26	0.087
CSIZMADIA IG	25	0.084
CURRAN HJ	25	0.084
DAVIDSON DF	25	0.084
DOUBERLY GE	25	0.084
DUNNING TH	25	0.084
FUENTEALBA P	25	0.084
GIANTURCO FA	25	0.084
GUIRGIS GA	25	0.084
HAAS Y	25	0.084
HOPKINSON AC	25	0.084
KING RB	25	0.084
LEE S	25	0.084
LI ZJ	25	0.084
MILLER TA	25	0.084
MITTAL JP	25	0.084
SANDER SP	25	0.084
SHAIK S	25	0.084
SHUMAN NS	25	0.084
TORMENA CF	25	0.084
TURECEK F	25	0.084
TYNDALL GS	25	0.084
ALBERTI M	24	0.081
BARNES I	24	0.081
BOLDYREV AI	24	0.081
BURSHTEIN AI	24	0.081
CHOU PT	24	0.081
FOWLER PW	24	0.081
GADRE SR	24	0.081
KIM D	24	0.081
KOLB CE	24	0.081
MA J	24	0.081
MARTINEZ A	24	0.081
MARTINEZ TJ	24	0.081
MOSQUERA RA	24	0.081
SCHMITT M	24	0.081
SEKIYA H	24	0.081
SODUPE M	24	0.081
TANG ZC	24	0.081
UGALDE JM	24	0.081
XU ZF	24	0.081
YAMAGUCHI K	24	0.081
ZGIERSKI MZ	24	0.081
ZHANG HX	24	0.081
AIKENS CM	23	0.077
ANDERSEN MPS	23	0.077
BACSKAY GB	23	0.077
BULTINCK P	23	0.077
CRAMER CJ	23	0.077
DOMCKE W	23	0.077
FISCHER I	23	0.077
FUJII M	23	0.077
GOLDEN DM	23	0.077
HEARD GL	23	0.077
HEAVEN MC	23	0.077
HERSHBERGER JF	23	0.077
HOU H	23	0.077
INOKUCHI Y	23	0.077
KATO S	23	0.077
KONDOW T	23	0.077
KRYACHKO ES	23	0.077
LIFSHITZ A	23	0.077
LIU SB	23	0.077
LUNDELL J	23	0.077
LUO Y	23	0.077
MATSUMI Y	23	0.077
MCMAHON TB	23	0.077
NG CY	23	0.077
NIMLOS MR	23	0.077
NOTARIO R	23	0.077
SATO H	23	0.077
SCHMIDT MW	23	0.077
SIMOYI RH	23	0.077
STROUT DL	23	0.077
SU ZM	23	0.077
TAO FM	23	0.077
VAN SPEYBROECK V	23	0.077
WANG Q	23	0.077
WILLNER H	23	0.077
YANG Y	23	0.077
YATSUHASHI T	23	0.077
AQUILANTI V	22	0.074
BANARES L	22	0.074
CATALAN J	22	0.074
CEDERBAUM LS	22	0.074
CHAKRABORTY T	22	0.074
CHEN Y	22	0.074
CRAWFORD TD	22	0.074
DA SILVA MAVR	22	0.074
HALONEN L	22	0.074
JENA P	22	0.074
LI SH	22	0.074
MACKIE JC	22	0.074
MATSUI H	22	0.074
NELSEN SF	22	0.074
NOVAK I	22	0.074
OKUMURA M	22	0.074
PATWARI GN	22	0.074
PEEBLES SA	22	0.074
REISLER H	22	0.074
ROSI M	22	0.074
ROSZAK S	22	0.074
SCHMIDT R	22	0.074
SLIPCHENKO LV	22	0.074
SURESH CH	22	0.074
THIEL W	22	0.074
TORTAJADA J	22	0.074
TSUZUKI S	22	0.074
VALA M	22	0.074
VISKOLCZ B	22	0.074
ZHANG RY	22	0.074
ANDERSON JG	21	0.070
BARRIENTOS C	21	0.070
BOGGS JE	21	0.070
BOUCHOUX G	21	0.070
CONTINETTI RE	21	0.070
CONTRERAS R	21	0.070
DIBBLE TS	21	0.070
DUBNIKOVA F	21	0.070
