Authors	records	% of 108010
CHOI Y	321	0.297
LIPELES E	321	0.297
WATTS G	321	0.297
CHEN X	320	0.296
CHO K	320	0.296
INTROZZI G	320	0.296
JAWAHERY A	320	0.296
KUMAR A	320	0.296
MANCA G	320	0.296
BELFORTE S	319	0.295
MANCINELLI G	319	0.295
AZFAR F	318	0.294
SAFONOV A	318	0.294
ELLISON J	317	0.293
PRELL S	317	0.293
CULBERTSON R	316	0.293
DASU S	316	0.293
GLADNEY L	316	0.293
LANNON K	316	0.293
MOGGI N	316	0.293
TONELLI D	316	0.293
WURTHWEIN F	316	0.293
PAGLIARONE C	315	0.292
ROSER R	315	0.292
SOHA A	315	0.292
HALKIADAKIS E	314	0.291
DITTMANN JR	313	0.290
MARAVIN Y	313	0.290
SANTI L	313	0.290
SCHAMBERGER RD	313	0.290
TANAKA M	313	0.290
FERBEL T	312	0.289
PATRIGNANI C	312	0.289
YANG UK	312	0.289
HAGOPIAN S	311	0.288
LI H	311	0.288
ASHMANSKAS W	310	0.287
IZEN JM	310	0.287
LINCOLN D	310	0.287
VELEV G	310	0.287
ZHANG X	310	0.287
KIRSCH L	309	0.286
MURAT P	309	0.286
SCHMIDT MP	309	0.286
WAGNER P	309	0.286
KINOSHITA K	308	0.285
STROLOGAS J	308	0.285
WITTICH P	308	0.285
ABBOTT B	307	0.284
LANDSBERG G	307	0.284
TAYLOR W	307	0.284
VILA I	307	0.284
BOLLA G	306	0.283
BOZZI C	306	0.283
CUEVAS J	306	0.283
RAVEN G	306	0.283
SHEARS T	306	0.283
WANG P	306	0.283
WILSON FF	306	0.283
BARLOW RJ	305	0.282
BYRUM KL	305	0.282
KHAN A	305	0.282
LAMI S	305	0.282
PALANO A	305	0.282
TISSERAND V	305	0.282
WAGNER RG	305	0.282
HONSCHEID K	304	0.281
VARNES EW	304	0.281
WANG SM	304	0.281
AVERY P	303	0.281
CHEN C	303	0.281
GRINSTEIN S	303	0.281
MEHTA A	303	0.281
SU D	303	0.281
YI K	303	0.281
ALVES GA	302	0.280
PENZO A	302	0.280
TURINI N	302	0.280
WALLNY R	302	0.280
BROWDER TE	301	0.279
MARGONI M	301	0.279
PETERS K	301	0.279
BROCK R	300	0.278
D'ONOFRIO M	300	0.278
KEPHART R	300	0.278
MALLIK U	300	0.278
QIAN J	300	0.278
EUSEBI R	299	0.277
GORELOV I	299	0.277
NAUENBERG U	299	0.277
PATEL PM	299	0.277
ZIEMINSKA D	299	0.277
BRANDT A	298	0.276
MCNULTY R	298	0.276
WALDI R	298	0.276
YELTON J	298	0.276
ARTUSO M	297	0.275
PLAGER C	297	0.275
SIMONETTO F	297	0.275
HAPPACHER F	296	0.274
HOU WS	296	0.274
MEYER A	296	0.274
MUHEIM F	296	0.274
NEAL HA	296	0.274
SINEV NB	296	0.274
SKWARNICKI T	296	0.274
BADGETT W	295	0.273
BARBERIS E	295	0.273
DENISOV SP	295	0.273
GRITSAN AV	295	0.273
KRUTELYOV V	295	0.273
SCHUNE MH	295	0.273
SUZUKI T	295	0.273
WHITESON D	295	0.273
KREPS M	294	0.272
LATINO G	294	0.272
SAWYER L	294	0.272
SCHMITT M	294	0.272
ACHARYA BS	293	0.271
KOWALEWSKI R	293	0.271
PATTERSON JR	293	0.271
SNYDER S	293	0.271
YAMAMOTO K	293	0.271
KIM MJ	292	0.270
LI L	292	0.270
LORETI M	292	0.270
LUTH V	292	0.270
MARTIN A	292	0.270
RICHMAN JD	292	0.270
SHABALINA E	292	0.270
VILAR R	292	0.270
KEHOE R	291	0.269
LANCASTER M	291	0.269
DOMINGUEZ A	290	0.268
GLENZINSKI D	290	0.268
KLIMENKO S	290	0.268
MITSELMAKHER G	290	0.268
SCHELLMAN H	290	0.268
THOMSON E	290	0.268
CHEN YC	289	0.268
GAVRILOV V	289	0.268
GERSHTEIN Y	289	0.268
MARTINEZ M	289	0.268
LONG O	288	0.267
RESCIGNO M	287	0.266
CERRITO L	286	0.265
LOCKMAN WS	286	0.265
POLING R	286	0.265
ADAMS T	285	0.264
BROWN D	285	0.264
GIAGU S	285	0.264
JUN SY	285	0.264
LEES JP	285	0.264
MOHANTY GB	285	0.264
OH YD	285	0.264
WU SL	285	0.264
ARISAWA T	284	0.263
BLANC F	284	0.263
CASTILLA-VALDEZ H	284	0.263
GUTIERREZ P	284	0.263
THORNDIKE EH	284	0.263
BRAU B	283	0.262
EIDELMAN S	283	0.262
GARY JW	283	0.262
MORII M	283	0.262
DELL'ORSO M	282	0.261
DERWENT PF	282	0.261
MAZZANTI P	282	0.261
RUSS J	282	0.261
TECCHIO M	282	0.261
WATANABE Y	282	0.261
AMERIO S	281	0.260
LOGINOV A	281	0.260
CAMPANELLI M	280	0.259
CHAKRABORTY D	280	0.259
FREY R	280	0.259
GROSSO-PILCHER C	280	0.259
BARBARO-GALTIERI A	279	0.258
HADLEY NJ	279	0.258
INNES WR	279	0.258
LISTA L	279	0.258
PARK SK	279	0.258
ROODMAN A	279	0.258
TAKASHIMA R	279	0.258
TORRENCE E	279	0.258
WHITE A	279	0.258
ZHANG ZP	279	0.258
MCFARLAND KS	278	0.257
WANG Y	278	0.257
WORMSER G	278	0.257
DE MONCHENAULT GH	277	0.256
HANDLER R	277	0.256
LISS TM	277	0.256
TOSI S	277	0.256
WANG H	277	0.256
GODANG R	276	0.256
ZHU J	276	0.256
DATTA M	275	0.255
SMITH JR	275	0.255
SNOW J	275	0.255
STRAUSS M	275	0.255
ADYE T	274	0.254
ANNOVI A	274	0.254
BUSSEY P	274	0.254
KOVALSKYI D	274	0.254
YORITA K	274	0.254
CALDERINI G	273	0.253
COWAN G	273	0.253
KONG DJ	273	0.253
LEFLAT A	273	0.253
ROBSON A	273	0.253
ROTONDO M	273	0.253
TUTS PM	273	0.253
LOU XC	272	0.252
MILLER R	272	0.252
ROBERTSON SH	272	0.252
ANULLI F	271	0.251
CALCATERRA A	271	0.251
HAWKES CM	271	0.251
NAPIER A	271	0.251
PICCOLO M	271	0.251
PREPOST R	271	0.251
SAVOY-NAVARRO A	271	0.251
STARK J	271	0.251
STUGU B	271	0.251
TRISCHUK W	271	0.251
LI X	270	0.250
DALLAPICCOLA C	269	0.249
RAMA M	269	0.249
YU SS	269	0.249
ALBERT J	268	0.248
DE K	268	0.248
KLIMA B	268	0.248
KOZANECKI W	268	0.248
RIJSSENBEEK M	268	0.248
SATO K	268	0.248
SIMI G	268	0.248
CHUNG YS	267	0.247
DEL RE D	267	0.247
DELLA RICCA G	267	0.247
MORANDIN M	267	0.247
NEUBAUER MS	267	0.247
ROSSIN R	267	0.247
SANCHEZ-HERNANDEZ A	267	0.247
CASARSA M	266	0.246
CAVALLI-SFORZA M	266	0.246
KOTWAL AV	266	0.246
MARCHIORI G	266	0.246
SUMOROK K	266	0.246
TOMURA T	266	0.246
WISNIEWSKI WJ	266	0.246
BAND HR	265	0.245
FREEMAN J	265	0.245
NERI N	265	0.245
SCHINDLER RH	265	0.245
WU J	265	0.245
KANG JH	264	0.244
KROKOVNY P	264	0.244
OCARIZ J	264	0.244
BARTOLDUS R	263	0.243
BONDAR A	263	0.243
CLARK PJ	263	0.243
MOUNTAIN R	263	0.243
PROTOPOPESCU S	263	0.243
CARVALHO W	262	0.243
HARRISON PF	262	0.243
JOSHI U	262	0.243
SARKAR S	262	0.243
SUKHANOV A	262	0.243
HEBBEKER T	261	0.242
LISTER A	261	0.242
LUNGU G	261	0.242
MACFARLANE DB	261	0.242
NIELSEN J	261	0.242
PAAR HP	261	0.242
PARTRIDGE R	261	0.242
WANG Z	261	0.242
YANG Y	261	0.242
LUJAN P	260	0.241
PASSAGGIO S	260	0.241
DA COSTA JG	259	0.240
KIM JE	259	0.240
TERAMOTO Y	259	0.240
WOLBERS S	259	0.240
ABRAMS GS	258	0.239
CLARK A	258	0.239
COUDERC F	258	0.239
DAVIES G	258	0.239
FEINDT M	258	0.239
KOHLI JM	258	0.239
LYON AL	258	0.239
LYONS L	258	0.239
ZIELINSKI M	258	0.239
