Authors	records	% of 3483
KWATNY HG	5	0.144
KWON WH	5	0.144
LANG JH	5	0.144
LARSON RE	5	0.144
LI Y	5	0.144
LIN W	5	0.144
LIN ZL	5	0.144
LUH PB	5	0.144
MAKILA PM	5	0.144
MALHAME RP	5	0.144
MILANESE M	5	0.144
MORARI M	5	0.144
NAHI NE	5	0.144
NICULESCU SI	5	0.144
NIJMEIJER H	5	0.144
OLBROT AW	5	0.144
OSHEA RP	5	0.144
PARK PG	5	0.144
POOR HV	5	0.144
PUGH AC	5	0.144
RAMADGE PJ	5	0.144
SAKAWA Y	5	0.144
SEGALL A	5	0.144
SODERSTROM T	5	0.144
SPALL JC	5	0.144
TOWNLEY S	5	0.144
TSAKALIS KS	5	0.144
VANDERSTEEN G	5	0.144
VICINO A	5	0.144
XIE LH	5	0.144
YAZ E	5	0.144
ZABORSZKY J	5	0.144
ZHANG SY	5	0.144
ANANTHARAM V	4	0.115
AXELBAND EI	4	0.115
BAGCHI A	4	0.115
BALL JA	4	0.115
BARSHALO Y	4	0.115
BATTILOTTI S	4	0.115
BITTANTI S	4	0.115
BRASLAVSKY JH	4	0.115
BRYSON AE	4	0.115
CHAPELLAT H	4	0.115
CHEN FC	4	0.115
CHILALI M	4	0.115
CHONG CY	4	0.115
COLANERI P	4	0.115
DATTA A	4	0.115
DAVIS JH	4	0.115
DE SOUZA CE	4	0.115
DENICOLAO G	4	0.115
DORATO P	4	0.115
DOYLE J	4	0.115
DULLERUD GE	4	0.115
EGELAND O	4	0.115
ELLIOTT H	4	0.115
FENG XB	4	0.115
GAUBERT S	4	0.115
GERSCH W	4	0.115
GERSHWIN SB	4	0.115
GEVERS MR	4	0.115
GUSTAFSSON F	4	0.115
HADDAD AH	4	0.115
HAGIWARA T	4	0.115
HAJEK B	4	0.115
HALPERN ME	4	0.115
HANG CC	4	0.115
HEMAMI H	4	0.115
HILL DJ	4	0.115
HIRSCHORN RM	4	0.115
HJALMARSSON H	4	0.115
HOLLOWAY LE	4	0.115
HSIEH CS	4	0.115
HUANG J	4	0.115
HUNG YS	4	0.115
HYLAND DC	4	0.115
IWASAKI T	4	0.115
JACOBSON CA	4	0.115
JOHNSON CD	4	0.115
JOHNSON CR	4	0.115
KAMEN EW	4	0.115
KAUFMAN H	4	0.115
KEEL LH	4	0.115
KHALIL H	4	0.115
KODAMA S	4	0.115
KOUVARITAKIS B	4	0.115
KRENER AJ	4	0.115
KUCERA V	4	0.115
LANDAU ID	4	0.115
LASSERRE JB	4	0.115
LAWRENCE DA	4	0.115
LEWIS FL	4	0.115
LI XR	4	0.115
LIAN KY	4	0.115
LU WM	4	0.115
MARTIN CF	4	0.115
MCKAY ND	4	0.115
MEDITCH JS	4	0.115
MEGRETSKI A	4	0.115
MEIER L	4	0.115
MEINSMA G	4	0.115
MILLER DE	4	0.115
MILLER RK	4	0.115
MOHLER RR	4	0.115
MONACO S	4	0.115
MOOG CH	4	0.115
MORI T	4	0.115
MOYLAN PJ	4	0.115
NIEDZWIECKI M	4	0.115
NINNESS B	4	0.115
PADEN B	4	0.115
PAGANINI F	4	0.115
PALMOR ZJ	4	0.115
PAN ZG	4	0.115
PAPAVASSILOPOULOS GP	4	0.115
PARTINGTON JR	4	0.115
PASIK-DUNCAN B	4	0.115
PASSINO KM	4	0.115
PATEL RV	4	0.115
PAVLIDIS T	4	0.115
PERKINS JR	4	0.115
POLIS MP	4	0.115
POLYCARPOU MM	4	0.115
PORAT B	4	0.115
