144.221 26.094 15
141.765 28.199 28
144.064 26.177 67
143.061 26.282 102
146.385 25.522 120
145.198 25.630 147
145.902 25.458 149
145.406 25.613 151
144.851 27.139 188
145.007 27.215 193
143.417 25.812 201
143.406 25.891 202
141.778 28.310 207
145.792 26.333 231
141.518 28.727 239
141.202 28.973 244
143.186 25.826 256
142.200 25.785 204
142.065 25.920 203
142.380 25.605 268
142.560 25.515 267
142.515 25.650 175
143.010 25.290 157
143.010 25.425 159
142.875 25.650 191
142.875 25.515 190
143.370 25.740 200
143.235 25.695 257
142.875 25.065 139
142.875 25.155 233
142.695 25.200 154
142.785 25.245 160
142.785 25.335 158
142.875 25.425 199
142.785 25.470 6
143.010 25.560 179
142.740 25.875 145
142.605 25.875 174
142.515 25.830 141
142.785 25.740 143
142.650 25.695 144
142.560 25.740 142
142.695 25.785 176
143.415 26.325 252
143.370 26.415 89
143.325 26.640 249
143.190 26.595 250
143.235 26.505 98
143.145 26.460 92
143.235 26.415 90
142.920 26.505 103
142.965 26.280 93
142.965 26.370 96
142.830 26.415 237
143.010 26.100 134
143.055 26.190 91
143.325 26.280 100
143.190 26.100 95
143.055 26.415 101
143.190 26.325 88
143.235 26.235 97
143.325 26.145 99
143.640 26.055 18
144.180 25.155 173
144.360 25.200 172
144.495 25.245 186
144.360 25.335 171
144.180 25.335 187
144.270 25.425 129
144.405 25.515 127
144.135 25.470 210
144.225 25.560 128
144.540 25.875 80
144.405 25.695 84
144.540 26.460 241
143.820 26.190 167
143.595 26.505 32
143.595 26.415 38
143.595 26.325 245
143.685 26.235 37
143.775 26.280 41
143.640 26.955 131
143.685 26.820 130
143.640 26.685 31
143.775 26.730 30
143.910 26.775 123
143.820 27.315 195
143.910 27.405 198
143.775 27.225 197
143.595 27.225 194
143.685 27.135 196
143.685 26.415 36
143.730 26.550 35
143.865 26.595 211
143.775 26.370 34
143.865 26.280 39
143.820 26.505 125
143.865 26.415 40
144.450 26.595 240
144.405 26.505 177
143.685 25.830 16
143.730 26.100 181
143.640 26.145 255
143.550 25.965 19
144.180 25.920 79
144.180 25.695 86
143.865 25.650 261
143.865 25.740 140
144.135 25.785 189
144.495 26.055 81
144.675 26.145 259
144.585 26.100 48
143.820 25.830 254
143.865 25.920 133
143.640 25.920 17
143.685 25.965 168
143.820 26.010 10
143.865 26.100 169
144.045 25.830 136
144.000 25.740 45
144.000 25.650 161
143.955 25.875 135
144.045 25.920 253
143.910 26.010 162
144.000 26.100 163
144.045 26.010 57
144.135 26.010 132
144.405 26.055 12
144.315 26.730 213
144.135 26.820 126
144.180 26.685 122
144.045 26.730 215
144.045 26.640 124
144.180 26.595 216
144.315 26.640 212
144.315 26.550 214
144.180 26.505 228
144.090 26.550 1
144.090 26.460 0
143.955 26.505 217
144.405 26.415 166
144.090 26.370 164
143.955 26.370 165
144.000 26.280 218
143.955 26.190 33
144.315 26.460 260
144.135 26.235 8
144.135 26.100 47
144.630 26.370 178
144.540 26.325 49
144.720 26.235 52
144.585 26.235 13
144.495 26.280 53
144.225 26.325 42
144.225 26.235 50
144.405 26.145 182
144.540 26.145 51
144.360 26.325 55
144.180 26.190 46
144.135 26.415 227
144.315 26.370 9
144.315 26.190 180
144.405 26.280 14
144.405 25.920 78
144.270 26.010 258
144.315 26.100 54
144.315 25.920 11
144.675 25.965 85
144.540 25.965 87
144.495 25.785 76
144.405 25.785 82
144.270 25.830 44
144.315 25.695 77
144.270 25.740 83
144.585 27.630 2
144.900 27.585 251
144.765 27.495 170
144.675 27.405 156
144.540 27.540 60
144.540 27.405 208
144.360 27.495 64
144.360 27.405 58
144.450 27.315 209
144.855 27.315 192
144.720 27.270 61
144.675 27.135 63
144.585 27.090 59
144.540 27.225 65
144.360 27.225 62
144.450 27.090 66
145.125 26.910 185
145.035 26.820 183
144.945 26.730 184
144.810 26.730 71
144.810 26.640 72
144.810 26.550 69
145.035 26.640 70
144.945 26.325 73
144.945 26.595 75
145.035 26.505 121
144.945 26.505 68
144.855 26.460 74
142.875 27.405 226
142.560 27.630 221
142.740 27.405 225
142.650 27.270 219
142.740 27.495 224
142.740 27.585 222
142.740 27.675 220
142.605 27.540 118
142.695 27.765 107
143.010 27.720 223
142.830 27.810 108
142.515 27.765 104
142.650 27.855 105
143.010 28.035 106
142.830 27.900 110
142.830 28.080 109
142.695 28.125 230
142.605 28.035 229
142.515 27.855 43
142.560 27.945 232
142.740 27.945 111
145.125 25.425 148
145.260 25.470 146
145.575 25.425 150
145.440 25.785 152
145.530 25.560 153
145.845 25.200 155
146.070 25.560 114
145.800 25.425 137
145.935 25.290 248
146.115 25.290 234
146.205 25.380 138
146.025 25.470 56
145.980 25.380 115
146.115 25.425 119
145.890 25.560 246
145.800 25.650 247
145.800 25.335 112
141.705 28.475 206
141.795 28.395 205
141.930 28.350 263
141.615 27.990 26
141.705 28.035 24
141.570 28.080 29
141.615 28.170 20
141.660 28.350 23
141.615 28.260 25
141.795 28.080 27
141.885 28.125 22
141.885 28.260 21
141.615 28.845 238
141.210 28.620 242
141.210 28.845 235
141.120 28.710 243
141.345 28.890 236
141.345 28.430 266
141.435 28.620 262
141.345 28.530 264
141.210 28.395 265

