5,5,1
5,1,6
5,0,4
5,-1,1
5,3,4
5,4,1
5,2,4
-3,-3,8
-3,1,10
-3,0,16
-3,-1,17
-3,-2,18
-3,2,5
-3,-4,1
-6,-3,1
-6,1,1
-6,-1,3
-6,-2,1
-6,-4,3
8,2,1
1,-3,2
1,1,32
1,0,36
1,-1,28
1,-2,13
1,3,12
1,4,2
1,2,23
0,5,1
0,-3,7
0,1,30
0,0,39
0,-1,36
0,-2,8
0,3,4
0,4,1
0,2,20
6,1,3
6,0,2
6,3,2
6,4,1
-5,-3,6
-5,0,3
-5,-1,8
-5,-2,7
-5,2,1
-5,-4,5
-1,-3,9
-1,1,30
-1,0,34
-1,-1,44
-1,-2,16
-1,3,4
-1,2,15
-1,-4,2
-2,-3,6
-2,1,17
-2,0,22
-2,-5,2
-2,-1,29
-2,-2,21
-2,3,1
-2,2,5
-2,-4,3
3,1,23
3,0,13
3,-1,9
3,-2,4
3,3,11
3,4,1
3,2,16
7,-1,1
7,3,1
7,2,1
-7,0,3
-7,-5,1
-7,-1,1
4,1,8
4,0,14
4,-1,2
4,-2,1
4,3,2
4,4,3
4,2,10
2,-3,1
2,1,30
2,0,34
2,-1,18
2,-2,9
2,3,10
2,4,3
2,2,28
-4,-3,5
-4,1,3
-4,0,10
-4,-1,12
-4,-2,11
-4,2,2
-4,-4,1
