Authors	records	% of 10337
REESINK HW	8	0.077
REISS P	8	0.077
RIEMERSMA RA	8	0.077
ROUZIOUX C	8	0.077
RUBENS RD	8	0.077
SAGNELLA GA	8	0.077
SHERLOCK S	8	0.077
SMITH D	8	0.077
SOMMER A	8	0.077
STEVENSON JC	8	0.077
STEWART PM	8	0.077
SWALES JD	8	0.077
TAYLOR DN	8	0.077
TYRER P	8	0.077
VANDEWERF F	8	0.077
VENTO S	8	0.077
VERGANI D	8	0.077
VERSTRAETE M	8	0.077
WAKEFIELD AJ	8	0.077
WALKER M	8	0.077
WARD DE	8	0.077
WEIR DG	8	0.077
WELSH KI	8	0.077
ZUCKERMAN AJ	8	0.077
ALEXANDER FE	7	0.068
ALTMAN DG	7	0.068
BARIN F	7	0.068
BARRETT AJ	7	0.068
BATES D	7	0.068
BLAND JM	7	0.068
BORTIN MM	7	0.068
BRAUNWALD E	7	0.068
BROOME CV	7	0.068
BULPITT C	7	0.068
BURNETT AK	7	0.068
CALIFF RM	7	0.068
CAMPBELL CC	7	0.068
CHADWICK D	7	0.068
CHAMBERLAIN DA	7	0.068
CHANG CL	7	0.068
CHANTHAVANICH P	7	0.068
CHEINGSONGPOPOV R	7	0.068
CHUNG SCS	7	0.068
CLARK A	7	0.068
CLEMENS JD	7	0.068
DALGLEISH AG	7	0.068
DARBYSHIRE J	7	0.068
DAY NE	7	0.068
DUBOWITZ V	7	0.068
EDWARDS CRW	7	0.068
ELBOURNE D	7	0.068
ESPINER EA	7	0.068
EVANS DJ	7	0.068
FAGARD R	7	0.068
FOX K	7	0.068
FOX KAA	7	0.068
GEDDES DM	7	0.068
GODWIN J	7	0.068
GOLDHABER SZ	7	0.068
HALE G	7	0.068
HALL R	7	0.068
HARDING AE	7	0.068
HAYWARD JL	7	0.068
HEIKKILA J	7	0.068
HENDERSON BE	7	0.068
HERXHEIMER A	7	0.068
HOUGHTON M	7	0.068
HUTTUNEN JK	7	0.068
JACKSON G	7	0.068
JOHNSON AG	7	0.068
JOHNSON AL	7	0.068
JOHNSTONE EC	7	0.068
KAMM MA	7	0.068
LENNARDJONES JE	7	0.068
LEVY R	7	0.068
LIND T	7	0.068
LOCKWOOD CM	7	0.068
LUBSEN J	7	0.068
MASON DY	7	0.068
MCMANUS IC	7	0.068
MEAGER A	7	0.068
MILLER D	7	0.068
MILLER GJ	7	0.068
MINDEL A	7	0.068
MONCADA S	7	0.068
MONTAGNIER L	7	0.068
MURPHY J	7	0.068
NEGRI E	7	0.068
NOSTEN F	7	0.068
OLD JM	7	0.068
PARKER D	7	0.068
POOLEWILSON PA	7	0.068
