Authors	records	% of 784
ADAM R	1	0.128
ADAMEK HE	1	0.128
ADAMS JR	1	0.128
ADAMSON J	1	0.128
ADI Y	1	0.128
ADJEI O	1	0.128
ADVANI S	1	0.128
AEBI S	1	0.128
AERTS J	1	0.128
AGERBO E	1	0.128
AGGARWAL R	1	0.128
AGGOUN Y	1	0.128
AGNER E	1	0.128
AGODOA L	1	0.128
AGUILA A	1	0.128
AGUILAR D	1	0.128
AHARONIAN V	1	0.128
AHLNER-ELMQVIST M	1	0.128
AHMED S	1	0.128
AHNBERG K	1	0.128
AHOLA S	1	0.128
AINA F	1	0.128
AINSCOW DAP	1	0.128
AINSWORTH M	1	0.128
AINSWORTH SB	1	0.128
AITA T	1	0.128
AJAYI-OBE M	1	0.128
AKAMA H	1	0.128
AKHTER HH	1	0.128
AKSELROD S	1	0.128
AL-AZZAWI F	1	0.128
AL-HENDY A	1	0.128
AL-JIFFRI O	1	0.128
AL-MOSLEM K	1	0.128
AL-NASIRI N	1	0.128
AL-QADREH A	1	0.128
ALAKL M	1	0.128
ALAM M	1	0.128
ALAM R	1	0.128
ALBAG Y	1	0.128
ALBERT J	1	0.128
ALBERT X	1	0.128
ALBERTI KGMM	1	0.128
ALBERTSSON-WIKLAND K	1	0.128
ALBIN G	1	0.128
ALDANA C	1	0.128
ALDERMAN MH	1	0.128
ALEXANDER K	1	0.128
ALEXANDRE C	1	0.128
ALEXANDRE E	1	0.128
ALFARO RM	1	0.128
ALGERT C	1	0.128
ALGRA A	1	0.128
ALI HM	1	0.128
ALI N	1	0.128
ALLAN B	1	0.128
ALLEN S	1	0.128
ALLEN V	1	0.128
ALLMARK PJ	1	0.128
ALLOUECHE A	1	0.128
ALOE L	1	0.128
ALONSO JM	1	0.128
ALONZO M	1	0.128
ALPERT J	1	0.128
ALT F	1	0.128
ALTISENT C	1	0.128
ALTMAN DG	1	0.128
ALTON E	1	0.128
ALTWASSER F	1	0.128
ALVAREZ A	1	0.128
ALVAREZ-DARDET C	1	0.128
ALVIM GG	1	0.128
AMATO A	1	0.128
AMBARDEKAR S	1	0.128
AMIDI M	1	0.128
AMIDON T	1	0.128
AMIEL S	1	0.128
AMITANI R	1	0.128
AMODEO C	1	0.128
AMORY JK	1	0.128
AMOWITZ L	1	0.128
AMREIN C	1	0.128
AMYES E	1	0.128
ANAND R	1	0.128
ANASTASAKIS A	1	0.128
ANASTASSOPOULOU C	1	0.128
ANAWALT BD	1	0.128
ANDERSEN AE	1	0.128
ANDERSEN MK	1	0.128
ANDERSEN TO	1	0.128
ANDERSON GM	1	0.128
ANDERSON I	1	0.128
ANDERSON M	1	0.128
ANDERSSON D	1	0.128
ANDERSSON O	1	0.128
ANDERSSON SO	1	0.128
ANDO M	1	0.128
ANDRADE SE	1	0.128
ANDREW M	1	0.128
ANDREWS N	1	0.128
ANDREWS NJ	1	0.128
ANESINI A	1	0.128
ANGE C	1	0.128
ANGERSON WJ	1	0.128
ANGONIN R	1	0.128
ANGUS P	1	0.128
ANKER G	1	0.128
ANKER SD	1	0.128
ANNANE D	1	0.128
ANSELL J	1	0.128
ANTONIAK M	1	0.128
ANTSAKLIS A	1	0.128
ANTUNES F	1	0.128
ANTVELINK D	1	0.128
ANWAR W	1	0.128
