Authors	records	% of 52424
KUBOTA Y	182	0.347
STONE S	182	0.347
WILSON RJ	182	0.347
YOUNG CC	182	0.347
BESSON D	181	0.345
CASSEL DG	181	0.345
GRAY SW	181	0.345
HARTILL DL	181	0.345
HELTSLEY BK	181	0.345
KREINICK DL	181	0.345
LYS J	181	0.345
SANSONI A	181	0.345
OGAWA S	180	0.343
SADOFF AJ	180	0.343
YELTON J	180	0.343
ARTUSO M	179	0.341
JAMES E	179	0.341
PATTERSON JR	179	0.341
SCHINDLER RH	179	0.341
SKWARNICKI T	179	0.341
CLARK AG	178	0.340
SHIPSEY IPJ	178	0.340
SILL A	178	0.340
STROM D	178	0.340
YAMAMOTO RK	177	0.338
ASTON D	176	0.336
AZFAR F	176	0.336
BURCHAT PR	176	0.336
CALCATERRA A	176	0.336
EISENSTEIN BI	176	0.336
ENO S	176	0.336
GAY C	176	0.336
HERTZBACH SS	176	0.336
LOU XC	176	0.336
MESSNER R	176	0.336
RATCLIFF BN	176	0.336
SCHRENK S	176	0.336
SINEV NB	176	0.336
BARINGER P	175	0.334
BERKELMAN K	175	0.334
MANCINELLI G	175	0.334
SCHALK T	175	0.334
SIEGRIST J	175	0.334
SOKOLOFF MD	175	0.334
STEFANINI A	175	0.334
CSORNA SE	174	0.332
CULBERTSON R	174	0.332
KATAYAMA N	174	0.332
NEAL H	174	0.332
PICCOLO M	174	0.332
SKUBIC P	174	0.332
SU D	174	0.332
WURTHWEIN F	174	0.332
BROWN DN	173	0.330
ERNST J	173	0.330
NELSON C	173	0.330
DEVLIN T	172	0.328
HEUSCH CA	172	0.328
RANKIN P	172	0.328
ROSER R	172	0.328
WYSS J	172	0.328
AHMED S	171	0.326
AVERY P	171	0.326
DITTMANN JR	171	0.326
GERDES DW	171	0.326
KIM SK	171	0.326
MILLER JS	171	0.326
PIEMONTESE L	171	0.326
ROE NA	171	0.326
SELEN M	171	0.326
STEELE J	171	0.326
ALEXANDER JP	170	0.324
MORITA Y	170	0.324
PUROHIT MV	170	0.324
SANTI L	170	0.324
VEJCIK S	170	0.324
FREEMAN J	169	0.322
IZEN JM	169	0.322
YUN JC	169	0.322
ASHMANSKAS W	168	0.320
BLANC F	168	0.320
BROWN D	168	0.320
CARITHERS W	168	0.320
CARPINELLI M	168	0.320
FUKUI Y	168	0.320
LYNCH HL	168	0.320
MURAT P	168	0.320
VELEV G	168	0.320
WEINSTEIN AJ	168	0.320
MEADOWS BT	167	0.319
SPAAN B	167	0.319
VASSEUR G	167	0.319
WANG P	167	0.319
BOUDREAU J	166	0.317
CINABRO D	166	0.317
HITLIN DG	166	0.317
HOLLEBEEK R	166	0.317
INTROZZI G	166	0.317
LANKFORD AJ	166	0.317
LUTH V	166	0.317
SAVINOV V	166	0.317
SHAPIRO MD	166	0.317
VOLOBOUEV I	166	0.317
CAUZ D	165	0.315
DORIGO T	165	0.315
HUTH J	165	0.315
INNES WR	165	0.315
JOSHI U	165	0.315
ROLLI S	165	0.315
SPINELLA F	165	0.315
FIELD RC	164	0.313
GITTELMAN B	164	0.313
MOORE TB	164	0.313
ZHU YS	164	0.313
BLOOM K	163	0.311
MISHINA M	163	0.311
SALEEM M	163	0.311
ABRAMS GS	162	0.309
CONVERY MR	162	0.309
MORII M	162	0.309
PORTER FC	162	0.309
SNYDER A	162	0.309
SUMMERS DJ	162	0.309
WENZEL WA	162	0.309
WILLIAMS DC	162	0.309
BAUER JM	161	0.307
GLANZMAN T	161	0.307
HUGHES R	161	0.307
KANDASWAMY J	161	0.307
KIM P	161	0.307
SCHWIENING J	161	0.307
STOKER DP	161	0.307
TOBACK D	161	0.307
WATANABE Y	161	0.307
BENSINGER J	160	0.305
DASU S	160	0.305
HAWKES CM	160	0.305
HEARTY C	160	0.305
JONES CD	160	0.305
KOZANECKI W	160	0.305
MCKENNA JA	160	0.305
MOGGI N	160	0.305
AIHARA H	159	0.303
DEJONGH F	159	0.303
GIOKARIS N	159	0.303
JACOBSEN RG	159	0.303
MANGANO M	159	0.303
SMITH A	159	0.303
TAYLOR W	159	0.303
TORRENCE E	159	0.303
WEBB R	159	0.303
DE SANGRO R	158	0.301
KORYTOV A	158	0.301
SMITH AJS	158	0.301
TOLLESTRUP A	158	0.301
WANG J	158	0.301
BOLLA G	157	0.299
HOLLOWAY L	157	0.299
JAWAHERY A	157	0.299
LOCKMAN WS	157	0.299
STROYNOWSKI R	157	0.299
VA'VRA J	157	0.299
WEAVER M	157	0.299
ZALLO A	157	0.299
ELIAS JE	156	0.298
KANG JH	156	0.298
LOSECCO JM	156	0.298
MALLIK U	156	0.298
SEGLER S	156	0.298
TSENG J	156	0.298
WANG MJ	156	0.298
BRAU J	155	0.296
DUNWOODIE W	155	0.296
ESCHENBURG V	155	0.296
SANDERS DA	155	0.296
YAO W	155	0.296
HAPPACHER F	154	0.294
KELSEY MH	154	0.294
KOWALEWSKI R	154	0.294
MARIOTTI M	154	0.294
PESCARA L	154	0.294
SHIBATA EI	154	0.294
WILSON R	154	0.294
BADGETT W	153	0.292
KIM HJ	153	0.292
KOVACS E	153	0.292
LEITH DWGS	153	0.292
CHEN JC	152	0.290
DALLAPICCOLA C	152	0.290
LIU Y	152	0.290
LOCKYER N	152	0.290
MANDELKERN M	152	0.290
PATRIGNANI C	152	0.290
QI ND	152	0.290
ROBERTS DA	152	0.290
RONG G	152	0.290
SANTRONI A	152	0.290
SCHNEIDER O	152	0.290
WOLINSKI J	152	0.290
BUZZO A	151	0.288
CHRISTOFEK L	151	0.288
EISNER AM	151	0.288
GROER L	151	0.288
JAIN V	151	0.288
KRISHNAMURTHY M	151	0.288
BERNARD D	150	0.286
CHENG CH	150	0.286
COPPAGE D	150	0.286
MATTHEWS JAJ	150	0.286
NICHOLSON H	150	0.286
VILAR R	150	0.286
WENZEL H	150	0.286
CHEN E	149	0.284
DE BARBARO P	149	0.284
ESCHRICH I	149	0.284
GLENZINSKI D	149	0.284
KHAN A	149	0.284
LANCASTER M	149	0.284
SULLIVAN MK	149	0.284
TARAS P	149	0.284
WORMSER G	149	0.284
WRIGHT DH	149	0.284
CAHN RN	148	0.282
CIHANGIR S	148	0.282
EINSWEILER K	148	0.282
KOCH H	148	0.282
KOLOMENSKY YG	148	0.282
LEPELTIER V	148	0.282
PAN Y	148	0.282
POSOCCO M	148	0.282
ROBUTTI E	148	0.282
RONAN MT	148	0.282
SINGH JB	148	0.282
WALSH J	148	0.282
BONA M	147	0.280
BUCHANAN C	147	0.280
CAVOTO G	147	0.280
CHEN C	147	0.280
GATTO C	147	0.280
GOLUBEV VB	147	0.280
GROSDIDIER G	147	0.280
LYON AL	147	0.280
MATSUMOTO T	147	0.280
MATTISON TS	147	0.280
MORANDIN M	147	0.280
MOUNTAIN R	147	0.280
OLIVAS A	147	0.280
PAYNE DJ	147	0.280
PIREDDA G	147	0.280
ROSENBERG EI	147	0.280
SALNIKOV AA	147	0.280
SEREDNYAKOV SI	147	0.280
STROILI R	147	0.280
TOKI WH	147	0.280
VOCI C	147	0.280
WILSON FF	147	0.280
WRIGHT DM	147	0.280
WU SL	147	0.280
ADYE T	146	0.278
ALBERT J	146	0.278
ALLISON J	146	0.278
ANGELINI C	146	0.278
ANULLI F	146	0.278
AUBERT B	146	0.278
BARLOW NR	146	0.278
BARLOW RJ	146	0.278
BARTOLDUS R	146	0.278
BATIGNANI G	146	0.278
BETTARINI S	146	0.278
BONDIOLI M	146	0.278
BOUTIGNY D	146	0.278
BOZZI C	146	0.278
CALDERINI G	146	0.278
CARTARO C	146	0.278
CHAUVEAU J	146	0.278
CLARK PJ	146	0.278
CONTRI R	146	0.278
COWAN G	146	0.278
COWAN R	146	0.278
CRAWLEY HB	146	0.278
CREMALDI L	146	0.278
DAHMES B	146	0.278
DAUNCEY PD	146	0.278
DAVID P	146	0.278
DAVIS CL	146	0.278
DEL RE D	146	0.278
DORFAN J	146	0.278
DUBITZKY RS	146	0.278
EMERY S	146	0.278
FABOZZI F	146	0.278
FACCINI R	146	0.278
FLOOD KT	146	0.278
FRANEK B	146	0.278
FRY JR	146	0.278
GABATHULER E	146	0.278
GAIDOT A	146	0.278
GAMBA D	146	0.278
GIORGI MA	146	0.278
GOWDY SJ	146	0.278
HAIRE M	146	0.278
HAMON O	146	0.278
HARRISON PF	146	0.278
KARYOTAKIS Y	146	0.278
KIRKBY D	146	0.278
KORDAS K	146	0.278
LANCERI L	146	0.278
LEES JP	146	0.278
LISTA L	146	0.278
LIU F	146	0.278
LU C	146	0.278
LUSIANI A	146	0.278
LUTZ AM	146	0.278
MARTINEZ-VIDAL F	146	0.278
MAZZONI MA	146	0.278
MORGANTI S	146	0.278
MULLER DR	146	0.278
NASH JA	146	0.278
O'GRADY CP	146	0.278
PALANO A	146	0.278
PASSAGGIO S	146	0.278
PERUZZI IM	146	0.278
POMPILI A	146	0.278
RAHATLOU S	146	0.278
RAMA M	146	0.278
RAVEN G	146	0.278
RIZZO G	146	0.278
ROBERTSON SH	146	0.278
RONEY JM	146	0.278
ROSENSON L	146	0.278
ROTONDO M	146	0.278
SCHUBERT KR	146	0.278
SCHUNE MH	146	0.278
SCHWIERZ R	146	0.278
SCIACCA C	146	0.278
SCIOLLA G	146	0.278
SIMONETTO F	146	0.278
SNIHUR R	146	0.278
SPANIER SM	146	0.278
SPHICAS P	146	0.278
STUGU B	146	0.278
TAYLOR F	146	0.278
TELNOV AV	146	0.278
THIEBAUX C	146	0.278
TOURAMANIS C	146	0.278
VERDERI M	146	0.278
VOENA C	146	0.278
WALDI R	146	0.278
WATSON AT	146	0.278
WILDEN L	146	0.278
YANG S	146	0.278
ZITO M	146	0.278
BALDINI-FERROLI R	145	0.277
BERGE JP	145	0.277
BIANCHI F	145	0.277
BLINOV VE	145	0.277
BONNEAUD GR	145	0.277
BRIERE RA	145	0.277
BUGG W	145	0.277
EDWARDS KW	145	0.277
FERRONI F	145	0.277
FORTI F	145	0.277
GAMET R	145	0.277
GROYSMAN Y	145	0.277
HUFNAGEL D	145	0.277
KAJFASZ E	145	0.277
KERTH LT	145	0.277
KROEGER R	145	0.277
LACKER HM	145	0.277
LAFFERTY GD	145	0.277
LUITZ S	145	0.277
LYNCH G	145	0.277
MARGONI M	145	0.277
MEYER WT	145	0.277
MONGE MR	145	0.277
MORGANTI M	145	0.277
NERI N	145	0.277
ONUCHIN AP	145	0.277
PALOMBO F	145	0.277
PATTERI P	145	0.277
PULLIAM T	145	0.277
SALVATORE F	145	0.277
SIMI G	145	0.277
SKOVPEN YI	145	0.277
SOHA A	145	0.277
TISSERAND V	145	0.277
WILSON MG	145	0.277
YECHE C	145	0.277
YU J	145	0.277
BUTTON-SHAFER J	144	0.275
CHEN A	144	0.275
COOPER J	144	0.275
DUBOIS-FELSMANN GP	144	0.275
FERRAROTTO F	144	0.275
SEKULA SJ	144	0.275
STEINKE M	144	0.275
WATTS G	144	0.275
YAMAMOTO H	144	0.275
DE LA VAISSIERE C	143	0.273
ELMER P	143	0.273
PERL M	143	0.273
RICCIARDI S	143	0.273
STELZER J	143	0.273
TAMURA N	143	0.273
ZHAO HW	143	0.273
BOSISIO L	142	0.271
GIBBONS L	142	0.271
KOEHN P	142	0.271
LATINO G	142	0.271
LIU T	142	0.271
MISTRY NB	142	0.271
PAOLONI E	142	0.271
PFEIFFER LN	142	0.271
PITTS KT	142	0.271
RAGAN K	142	0.271
SCHELLMAN H	142	0.271
TAKASHIMA R	142	0.271
ARISAWA T	141	0.269
BLOOM P	141	0.269
CHERTOK M	141	0.269
DRELL PS	141	0.269
JOHNSON JR	141	0.269
LERUSTE P	141	0.269
LEWANDOWSKI B	141	0.269
MAZZANTI P	141	0.269
PLUNKETT R	141	0.269
URHEIM J	141	0.269
BRANDT T	140	0.267
CERRI A	140	0.267
DEMINA R	140	0.267
TECCHIO M	140	0.267
VARNES EW	140	0.267
BACK JJ	139	0.265
BEHERA PK	139	0.265
DELL'ORSO M	139	0.265
DUBOSCQ JE	139	0.265
GANZHUR SF	139	0.265
HOU S	139	0.265
KLIMENKO S	139	0.265
LO VETERE M	139	0.265
MCFARLAND KS	139	0.265
PRIPSTEIN M	139	0.265
AZZI-BACCHETTA P	138	0.263
COTTINGHAM WN	138	0.263
GROSSO-PILCHER C	138	0.263
HAUKE A	138	0.263
KOPP S	138	0.263
MARCHIORI G	138	0.263
SPIEGEL L	138	0.263
THERIOT D	138	0.263
WEIDEMANN AW	138	0.263
ALEKSAN R	137	0.261
BARBARO-GALTIERI A	137	0.261
DE NARDO G	137	0.261
FEILD RG	137	0.261
FIORI I	137	0.261
GOLLIN GD	137	0.261
GRITSAN AV	137	0.261
NEUBERGER D	137	0.261
STAENGLE H	137	0.261
STROLOGAS J	137	0.261
TERASHI K	137	0.261
ZGHICHE A	137	0.261
BEVAN AJ	136	0.259
BRIAND H	136	0.259
CHEN YC	136	0.259
CHLEBANA F	136	0.259
DAGENHART D	136	0.259
DVORETSKII A	136	0.259
MCMAHON TR	136	0.259
NORDBERG E	136	0.259
OCARIZ J	136	0.259
TOSI S	136	0.259
BONVICINI G	135	0.258
CHO K	135	0.258
HAST C	135	0.258
IKEDA H	135	0.258
JACKSON PD	135	0.258
KANEKO T	135	0.258
LAMOUREUX JI	135	0.258
WEST KW	135	0.258
XIE Y	135	0.258
ZHANG ZP	135	0.258
AMMAR R	134	0.256
BERGER N	134	0.256
BUCHHOLZ D	134	0.256
DELLA RICCA G	134	0.256
DI LODOVICO F	134	0.256
ELY R	134	0.256
GORDON A	134	0.256
HRYN'OVA T	134	0.256
IWASAKI Y	134	0.256
KANG JS	134	0.256
LATH A	134	0.256
LE DIBERDER F	134	0.256
MORRISON RJ	134	0.256
SINGH P	134	0.256
ANASTASSOV A	133	0.254
BEBEK C	133	0.254
BOYD JT	133	0.254
COOPER WE	133	0.254
DEL BUONO L	133	0.254
HANS RM	133	0.254
KASHA H	133	0.254
MAZUR MA	133	0.254
ANDERSON S	132	0.252
ATAC M	132	0.252
CRONIN-HENNESSY D	132	0.252
GEER S	132	0.252
PANVINI RS	132	0.252
RITCHIE JL	132	0.252
YAMASHITA Y	132	0.252
BROWN CM	131	0.250
HARRISON TJ	131	0.250
LI H	131	0.250
OLSEN SL	131	0.250
SATO H	131	0.250
YASUDA T	131	0.250
BELLINI F	130	0.248
BERRYHILL JW	130	0.248
BRUNER N	130	0.248
DAVIER M	130	0.248
DE MONCHENAULT GH	130	0.248
ENGELS E	130	0.248
FAN Q	130	0.248
GOTRA Y	130	0.248
MIR LM	130	0.248
OFTE I	130	0.248
ORIMOTO TJ	130	0.248
PICCOLO D	130	0.248
SCHOTT G	130	0.248
VITALE L	130	0.248
WAGONER DE	130	0.248
ABBOTT B	129	0.246
CHOI Y	129	0.246
DATTA M	129	0.246
FLAECHER HU	129	0.246
GOMEZ G	129	0.246
JUDD D	129	0.246
MARUYAMA T	129	0.246
PAOLUCCI P	129	0.246
REIDY J	129	0.246
SLAUGHTER AJ	129	0.246
WILLOCQ S	129	0.246
ABE T	128	0.244
BAILEY MW	128	0.244
BERTOLUCCI S	128	0.244
