Authors	records	% of 4363
WALTMAN L	6	0.138
WANG Y	6	0.138
YURET T	6	0.138
ZHAO ZY	6	0.138
ZHU J	6	0.138
ABRIZAH A	5	0.115
ARENCIBIA-JORGE R	5	0.115
BALABAN AT	5	0.115
BARTOL T	5	0.115
BASU A	5	0.115
BONACCORSI A	5	0.115
BORREGO A	5	0.115
BOZEMAN B	5	0.115
CARLEY S	5	0.115
CHANG HW	5	0.115
CHEN JH	5	0.115
CHEN TJ	5	0.115
CHIU WT	5	0.115
COMINS JA	5	0.115
DANELL R	5	0.115
DARAIO C	5	0.115
DIOSPATONYI I	5	0.115
DOREIAN P	5	0.115
ENGELS TCE	5	0.115
FENG YQ	5	0.115
FERNANDEZ-CANO A	5	0.115
FUJIGAKI Y	5	0.115
GAO X	5	0.115
GARFIELD E	5	0.115
GONZALEZ-ALCAIDE G	5	0.115
GUNS R	5	0.115
HALL DH	5	0.115
HARGENS LL	5	0.115
HE TW	5	0.115
HERRERO-SOLANA V	5	0.115
HINZE S	5	0.115
HONG S	5	0.115
HU XJ	5	0.115
IRVINE J	5	0.115
JARNEVING B	5	0.115
KAO C	5	0.115
KATSAROS D	5	0.115
KISSIN I	5	0.115
KRAUSKOPF M	5	0.115
LARSEN B	5	0.115
LARSEN PO	5	0.115
LINDSEY D	5	0.115
LUNA-MORALES ME	5	0.115
MA FC	5	0.115
MA N	5	0.115
MARINOVA D	5	0.115
MARTIN-MARTIN A	5	0.115
MIXON FG	5	0.115
MOEHRLE MG	5	0.115
NI CQ	5	0.115
OJASOO T	5	0.115
PEREIRA JCR	5	0.115
RAFOLS I	5	0.115
RATCHATAHIRUN P	5	0.115
ROSATI F	5	0.115
ROUSSEAU S	5	0.115
RUIZ-BANOS R	5	0.115
SANGAM SL	5	0.115
SANGWAL K	5	0.115
SCHIFFAUEROVA A	5	0.115
SINGH VK	5	0.115
SQUAZZONI F	5	0.115
STERNITZKE C	5	0.115
TELCS A	5	0.115
TIJSSEN R	5	0.115
TOL RSJ	5	0.115
VANECEK J	5	0.115
VERBEEK A	5	0.115
VILLARROYA A	5	0.115
WANG DB	5	0.115
WANG MY	5	0.115
WANG SH	5	0.115
WANG XF	5	0.115
WANG Z	5	0.115
XU SM	5	0.115
YAN E	5	0.115
YANG L	5	0.115
YOCHAI W	5	0.115
AJIFERUKE I	4	0.092
