Authors	records	% of 178136
COLLUM DB	103	0.058
EVANS WJ	103	0.058
BARTON JK	102	0.057
IPATIEFF VN	102	0.057
WANG X	102	0.057
WILSON SR	102	0.057
GRIFFIN RG	101	0.057
HARKINS WD	101	0.057
HENNE AL	101	0.057
KING RB	101	0.057
MARTIN JC	101	0.057
MUETTERTIES EL	101	0.057
SHAIK S	101	0.057
SWAGER TM	101	0.057
YAMAGUCHI K	101	0.057
ZHANG W	101	0.057
BROOKHART M	100	0.056
GRATZEL M	100	0.056
GULDI DM	100	0.056
SONDHEIMER F	100	0.056
KHARASCH MS	99	0.056
SAUNDERS M	99	0.056
SCHEIDT WR	99	0.056
STUCKY GD	99	0.056
CURRAN DP	98	0.055
HART H	98	0.055
RAMIREZ F	98	0.055
SHEEHAN JC	98	0.055
CURTIN DY	97	0.054
HEHRE WJ	97	0.054
MANNERS I	97	0.054
REINHOUDT DN	97	0.054
ZILLER JW	97	0.054
BERNASCONI CF	96	0.054
BOEKELHEIDE V	96	0.054
KAY LE	96	0.054
MENGER FM	96	0.054
AIDA T	95	0.053
ANET FAL	95	0.053
BUNNETT JF	95	0.053
CARROLL PJ	95	0.053
DIXON DA	95	0.053
EISENSTEIN O	95	0.053
GORDON MS	95	0.053
GROVES JT	95	0.053
KHORANA HG	95	0.053
ATWOOD JL	94	0.053
BROWN TL	94	0.053
BUSCH DH	94	0.053
GRUNWALD E	94	0.053
HENDRICKSON DN	94	0.053
KAISER ET	94	0.053
SCHWARZ H	94	0.053
TRAYLOR TG	94	0.053
WENKERT E	94	0.053
BURG AB	93	0.052
WESTHEIMER FH	93	0.052
ZHANG X	93	0.052
KRISCHE MJ	92	0.052
KWART H	92	0.052
NOYORI R	92	0.052
POPLE JA	92	0.052
ANDREWS LJ	91	0.051
CHEN J	91	0.051
DEPUY CH	91	0.051
FREISER BS	91	0.051
HECHT SM	91	0.051
KIM H	91	0.051
MARUOKA K	91	0.051
RICHARD JP	91	0.051
VANTAMELEN EE	91	0.051
WILLIAMS DH	91	0.051
BENSON SW	90	0.051
FLORY PJ	90	0.051
FOOTE CS	90	0.051
FRECHET JMJ	90	0.051
HINE J	90	0.051
JOHNSTON HL	90	0.051
LAMBERT JB	90	0.051
MASAMUNE S	90	0.051
OLDFIELD E	90	0.051
SCHREIBER SL	90	0.051
SEKIGUCHI A	90	0.051
YOUNG WG	90	0.051
AKASAKA T	89	0.050
HALL MB	89	0.050
KNOBLER CB	89	0.050
OSUKA A	89	0.050
CHAPMAN OL	88	0.049
DENMARK SE	88	0.049
FUOSS RM	88	0.049
MAYER JM	88	0.049
PORTER NA	88	0.049
RAUCHFUSS TB	88	0.049
ASTON JG	87	0.049
BEAK P	87	0.049
CALVIN M	87	0.049
HAMILTON CS	87	0.049
MARZILLI LG	87	0.049
SMITH KM	87	0.049
YU JQ	87	0.049
ZHANG Q	87	0.049
BUCHI G	86	0.048
LIU P	86	0.048
SAITO I	86	0.048
WALSH CT	86	0.048
ZHAO Y	86	0.048
BERTINI I	85	0.048
HALPERN J	85	0.048
LEWIS GN	85	0.048
MCBEE ET	85	0.048
PAUL IC	85	0.048
PEARSON RG	85	0.048
SWAIN CG	85	0.048
BERNARDI F	84	0.047
CRAMER CJ	84	0.047
LIU B	84	0.047
LIU L	84	0.047
MEINWALD J	84	0.047
NEWCOMB M	84	0.047
TANAKA H	84	0.047
BERCAW JE	83	0.047
COHEN SG	83	0.047
GOERING HL	83	0.047
KIM Y	83	0.047
KOHLER EP	83	0.047
MOORE JS	83	0.047
REED CA	83	0.047
SUGIYAMA H	83	0.047
BENKESER RA	82	0.046
ESPENSON JH	82	0.046
HANN RM	82	0.046
HROVAT DA	82	0.046
JACOBSEN EN	82	0.046
KUPCHAN SM	82	0.046
OZIN GA	82	0.046
STUBBE J	82	0.046
WUDL F	82	0.046
YANG J	82	0.046
BONNER WA	81	0.045
FLOSS HG	81	0.045
PARK J	81	0.045
TRUHLAR DG	81	0.045
BAU R	80	0.045
CROMWELL NH	80	0.045
EMSLEY L	80	0.045
LEE D	80	0.045
PITZER KS	80	0.045
ROSENKRANZ G	80	0.045
SUZUKI T	80	0.045
TAYLOR HS	80	0.045
BAILAR JC	79	0.044
BREDAS JL	79	0.044
BROWN RS	79	0.044
HILDEBRAND JH	79	0.044
KEBARLE P	79	0.044
KITAGAWA T	79	0.044
KOBAYASHI K	79	0.044
MCLAFFERTY FW	79	0.044
MILSTEIN D	79	0.044
TOUR JM	79	0.044
VEDEJS E	79	0.044
YAGHI OM	79	0.044
COLLINS CJ	78	0.044
MILLER LL	78	0.044
MUNCK E	78	0.044
WANG F	78	0.044
DEGRADO WF	77	0.043
HERSHBERG EB	77	0.043
SHINKAI S	77	0.043
WANG W	77	0.043
CONANT JB	76	0.043
DOERING WV	76	0.043
KATZ TJ	76	0.043
KISTIAKOWSKY GB	76	0.043
KLUGER R	76	0.043
KOSOWER EM	76	0.043
LEE JH	76	0.043
LEHN JM	76	0.043
SAUNDERS WH	76	0.043
WHITE PS	76	0.043
EISENBERG R	75	0.042
GUZEI IA	75	0.042
KEEFER RM	75	0.042
LEE H	75	0.042
LEE M	75	0.042
LETSINGER RL	75	0.042
PRYOR WA	75	0.042
SUSLICK KS	75	0.042
WILLIAMS RM	75	0.042
WULFF WD	75	0.042
ZINK JI	75	0.042
CHEN L	74	0.042
FEHLNER TP	74	0.042
FLETCHER HG	74	0.042
JANDA KD	74	0.042
KATO T	74	0.042
