Authors	records	% of 4438
WHITTEN W	4	0.090
WILANSKY A	4	0.090
WILSON RL	4	0.090
WINTER DJ	4	0.090
WOZNIAKOWSKI H	4	0.090
YAU SST	4	0.090
ZACHMANOGLOU EC	4	0.090
ZEEMAN EC	4	0.090
ZHAO Z	4	0.090
ZIMMER RJ	4	0.090
ALLEN HP	3	0.068
ANDERSON DW	3	0.068
ANDREWS GE	3	0.068
ANONYMOUS	3	0.068
ANSHEL M	3	0.068
ARTIN E	3	0.068
ARVESON WB	3	0.068
BACHMUTH S	3	0.068
BERENS H	3	0.068
BERENSTEIN CA	3	0.068
BERGMAN S	3	0.068
BERNDT BC	3	0.068
BILLERA LJ	3	0.068
BOARDMAN JM	3	0.068
BRAUER A	3	0.068
BREDON GE	3	0.068
BRICKMAN L	3	0.068
BRUMER A	3	0.068
BURGHELEA D	3	0.068
BUSEMANN H	3	0.068
CAIRNS SS	3	0.068
CAMERON RH	3	0.068
CANTOR M	3	0.068
CHANG CC	3	0.068
CHARNES A	3	0.068
CHERNOFF PR	3	0.068
CHUNG KL	3	0.068
CIVIN P	3	0.068
COHEN JM	3	0.068
COHN RM	3	0.068
COIFMAN RR	3	0.068
CURTIS CW	3	0.068
DARST RB	3	0.068
DREBEN B	3	0.068
ECKMANN B	3	0.068
EDWARDS DA	3	0.068
EDWARDS HM	3	0.068
EHRENPREIS L	3	0.068
ELLIS RS	3	0.068
FISCHER AE	3	0.068
FISHER MJ	3	0.068
FOLLAND GB	3	0.068
FOSSUM RM	3	0.068
FRANK E	3	0.068
FREED DS	3	0.068
FROLIK Z	3	0.068
FUCHS WHJ	3	0.068
FULLER FB	3	0.068
GABAI D	3	0.068
GEHRING FW	3	0.068
GILMER R	3	0.068
GOFFMAN C	3	0.068
GOLDMAN O	3	0.068
GOLDMAN WM	3	0.068
GOLUBITSKY M	3	0.068
GORDON CM	3	0.068
GORDON R	3	0.068
GOTTLIEB DH	3	0.068
GRANVILLE A	3	0.068
