Authors	records	% of 16725
WANG YY	18	0.108
XU T	18	0.108
ZHANG XM	18	0.108
ZHANG XY	18	0.108
ZHANG YY	18	0.108
ZHOU H	18	0.108
CHANG J	17	0.102
FENG Y	17	0.102
GAO P	17	0.102
HAYWARD C	17	0.102
HOFMAN A	17	0.102
LI ZY	17	0.102
MA C	17	0.102
RIVADENEIRA F	17	0.102
SPECTOR TD	17	0.102
WANG N	17	0.102
WANG YH	17	0.102
WANG YQ	17	0.102
WANG ZM	17	0.102
XU Q	17	0.102
YAN Z	17	0.102
YANG JL	17	0.102
ZHANG CL	17	0.102
ZHANG HL	17	0.102
ZHANG N	17	0.102
ZHAO W	17	0.102
ZHOU Q	17	0.102
CHEN YX	16	0.096
DAS S	16	0.096
DUAN XF	16	0.096
ESKO T	16	0.096
GUO GC	16	0.096
HUANG Z	16	0.096
INOUE K	16	0.096
JENG HT	16	0.096
KAWASAKI M	16	0.096
KIM HS	16	0.096
KIM JM	16	0.096
KIM YJ	16	0.096
KRAFT P	16	0.096
LI CY	16	0.096
LI JY	16	0.096
LI T	16	0.096
LI YF	16	0.096
LIU HJ	16	0.096
LIU YM	16	0.096
MA Y	16	0.096
REN Y	16	0.096
ROGERS JA	16	0.096
SHARMA P	16	0.096
SHEN ZX	16	0.096
SHI L	16	0.096
SONG Y	16	0.096
SUN H	16	0.096
SUZUKI A	16	0.096
SUZUKI T	16	0.096
TAKAHASHI Y	16	0.096
WANG LL	16	0.096
WANG R	16	0.096
WANG XM	16	0.096
WANG XR	16	0.096
WANG YX	16	0.096
WU Q	16	0.096
YANG SH	16	0.096
YU T	16	0.096
YUAN J	16	0.096
ZHANG G	16	0.096
ZHENG H	16	0.096
CAI Y	15	0.090
CAO Y	15	0.090
CHEN CL	15	0.090
CHEN MW	15	0.090
CHEN YJ	15	0.090
FENG XL	15	0.090
GAO X	15	0.090
GIEGER C	15	0.090
GUO H	15	0.090
HOULSTON RS	15	0.090
KIM JY	15	0.090
KIM T	15	0.090
LEE HW	15	0.090
LIN J	15	0.090
LIU CY	15	0.090
LIU ZF	15	0.090
LU C	15	0.090
MARTIN NG	15	0.090
METSPALU A	15	0.090
NEUPANE M	15	0.090
NOTHEN MM	15	0.090
PETERS A	15	0.090
SASAKI T	15	0.090
SATO H	15	0.090
SATO Y	15	0.090
SEKI T	15	0.090
TIAN Y	15	0.090
WANG G	15	0.090
WANG HB	15	0.090
WANG HM	15	0.090
WANG SY	15	0.090
WANG ZJ	15	0.090
WATANABE M	15	0.090
WILSON JF	15	0.090
WU B	15	0.090
WU X	15	0.090
XU SY	15	0.090
YAMAGUCHI H	15	0.090
YAMAMOTO Y	15	0.090
YANG M	15	0.090
ZHANG D	15	0.090
ZHANG ZH	15	0.090
ZHAO B	15	0.090
ZHAO JH	15	0.090
ZHAO Q	15	0.090
ZHOU B	15	0.090
ZHOU J	15	0.090
ZHU YM	15	0.090
BANERJEE S	14	0.084
BLUGEL S	14	0.084
CHEN T	14	0.084
CHENG L	14	0.084
CHOI M	14	0.084
DU Y	14	0.084
GILES GG	14	0.084
HASAN MZ	14	0.084
HUANG H	14	0.084
KANG S	14	0.084
KIM E	14	0.084
KIM JK	14	0.084
KIM SW	14	0.084
KOBAYASHI T	14	0.084
LEE JW	14	0.084
LEE W	14	0.084
LI ZH	14	0.084
LIANG H	14	0.084
LIU N	14	0.084
MULLEN K	14	0.084
MULLER C	14	0.084
NAKAMURA K	14	0.084
OFFERMANNS S	14	0.084
PARK SY	14	0.084
RAMESH R	14	0.084
SHEN Y	14	0.084
SUN K	14	0.084
TAKAHASHI H	14	0.084
THORLEIFSSON G	14	0.084
WANG XW	14	0.084
WANG YG	14	0.084
WANG ZC	14	0.084
WEISSLEDER R	14	0.084
WRACHTRUP J	14	0.084
WU D	14	0.084
WU T	14	0.084
XIA Y	14	0.084
XU P	14	0.084
XU Z	14	0.084
YAMADA T	14	0.084
YAN H	14	0.084
YANG JJ	14	0.084
YANG W	14	0.084
YANG XH	14	0.084
YOSHIDA M	14	0.084
YU P	14	0.084
ZHANG JW	14	0.084
ZHANG JY	14	0.084
ZHANG YL	14	0.084
ZHAO H	14	0.084
ZHAO X	14	0.084
ZHAO Z	14	0.084
ZHENG J	14	0.084
ZHENG W	14	0.084
ZHU C	14	0.084
ZHU L	14	0.084
ZOU J	14	0.084
BELOPOLSKI I	13	0.078
CHANG TR	13	0.078
CHANOCK SJ	13	0.078
CHEN P	13	0.078
CHEN XL	13	0.078
CHEN ZJ	13	0.078
CHO H	13	0.078
CHU YH	13	0.078
FANG J	13	0.078
FELSER C	13	0.078
FERRARI AC	13	0.078
FU Y	13	0.078
GAO F	13	0.078
GAO S	13	0.078
GEIM AK	13	0.078
GUO Y	13	0.078
HAN L	13	0.078
HARDY WN	13	0.078
HE J	13	0.078
HUANG B	13	0.078
HUANG JY	13	0.078
HUANG YG	13	0.078
ITO K	13	0.078
ITO S	13	0.078
JUNG J	13	0.078
KANG K	13	0.078
KATO T	13	0.078
KIM KS	13	0.078
KIM MS	13	0.078
KIM TH	13	0.078
KUMAR R	13	0.078
LEE HS	13	0.078
LEE JE	13	0.078
LI JJ	13	0.078
LI WJ	13	0.078
LI WY	13	0.078
LI YJ	13	0.078
LI YQ	13	0.078
LIU YJ	13	0.078
LU W	13	0.078
MA E	13	0.078
MATSUMOTO M	13	0.078
NOVOSELOV KS	13	0.078
NUREKI O	13	0.078
OKADA Y	13	0.078
POLASEK O	13	0.078
ROBINSON CV	13	0.078
SCHMIDT M	13	0.078
SHEN J	13	0.078
SULEM P	13	0.078
SUN W	13	0.078
TAKAHASHI K	13	0.078
TANAKA Y	13	0.078
VAN DEN BRINK J	13	0.078
WANG DY	13	0.078
WANG WX	13	0.078
WANG XF	13	0.078
WANG XX	13	0.078
WANG ZQ	13	0.078
WAREHAM NJ	13	0.078
WEI W	13	0.078
WU C	13	0.078
WU W	13	0.078
XU H	13	0.078
YANG C	13	0.078
YANG JY	13	0.078
YANG Q	13	0.078
YANG YL	13	0.078
YAO J	13	0.078
YIN Y	13	0.078
YU M	13	0.078
ZHANG CY	13	0.078
ZHANG GJ	13	0.078
ZHANG JL	13	0.078
ZHANG JS	13	0.078
ZHANG SY	13	0.078
ZHANG XW	13	0.078
ZHANG YW	13	0.078
ZHOU X	13	0.078
AHN J	12	0.072
ALIDOUST N	12	0.072
AMIN N	12	0.072
BANSIL A	12	0.072
BLASCO MA	12	0.072
